city_name,district_name,CCTV
서울특별시,서울,44457
인천광역시,인천,8680
제주특별자치도,제주,2249
세종특별자치시,세종,1848
대전광역시,대전,6356
광주광역시,광주,6294
대구광역시,대구,14710
울산광역시,울산,14178
부산광역시,부산,13047
경기,수원,6930
경기,성남,3649
경기,의정부,5099
경기,안양,5097
경기,부천,6422
경기,광명,2457
경기,평택,4487
경기,동두천,1435
경기,안산,2835
경기,고양,5061
경기,과천,988
경기,구리,1483
경기,오산,2187
경기,시흥,2910
경기,군포,2587
경기,의왕,1973
경기,하남,1610
경기,용인,15
경기,파주,1424
경기,이천,3585
경기,안성,851
경기,김포,3759
경기,화성,6216
경기,광주,2029
경기,양주,2175
경기,포천,10
경기,여주,918
강원,춘천,1097
강원,원주,1067
강원,강릉,881
강원,동해,459
강원,태백,477
강원,속초,573
강원,삼척,474
충북,충주,890
충북,제천,4017
충북,청주,8283
충남,천안,5648
충남,공주,937
충남,보령,1027
충남,아산,10
충남,서산,1236
충남,논산,1398
충남,당진,18
전북,전주,4439
전북,군산,2387
전북,익산,2036
전북,정읍,1675
전북,남원,1414
전북,김제,518
전남,목포,29
전남,여수,1528
전남,순천,1210
전남,나주,20
전남,광양,569
경북,포항,4315
경북,경주,1926
경북,김천,522
경북,안동,2241
경북,구미,2611
경북,영주,1632
경북,영천,6
경북,상주,988
경북,경산,1250
경남,창원,1149
경남,통영,1153
경남,김해,2524
경남,밀양,968
경남,거제,1566
