범죄대분류,범죄중분류,도시,발생수,발생년도
강력범죄 ,살인기수,서울,49,2013
강력범죄 ,살인미수등,서울,101,2013
강력범죄 ,강도,서울,421,2013
강력범죄 ,강간,서울,1190,2013
강력범죄 ,유사강간,서울,25,2013
강력범죄 ,강제추행,서울,3916,2013
강력범죄 ,기타 강간 강제추행등,서울,253,2013
강력범죄 ,방화,서울,317,2013
절도범죄,절도,서울,61600,2013
폭력범죄 ,상해,서울,9029,2013
폭력범죄 ,폭행,서울,34996,2013
폭력범죄 ,체포 감금,서울,141,2013
폭력범죄 ,협박,서울,1033,2013
폭력범죄 ,약취 유인,서울,40,2013
폭력범죄 ,폭력행위등,서울,7906,2013
폭력범죄 ,공갈,서울,809,2013
폭력범죄 ,손괴,서울,11479,2013
지능범죄 ,직무유기,서울,128,2013
지능범죄 ,직권남용,서울,93,2013
지능범죄 ,증수뢰,서울,52,2013
지능범죄 ,통화,서울,1788,2013
지능범죄 ,문서 인장,서울,3481,2013
지능범죄 ,유가증권인지,서울,178,2013
지능범죄 ,사기,서울,61108,2013
지능범죄 ,횡령,서울,8591,2013
지능범죄 ,배임,서울,1337,2013
풍속범죄 ,성풍속범죄,서울,4136,2013
풍속범죄 ,도박범죄,서울,1085,2013
특별경제범죄 ,특별경제범죄 ,서울,19684,2013
마약범죄,마약범죄,서울,877,2013
보건범죄,보건범죄,서울,3900,2013
환경범죄,환경범죄,서울,45,2013
교통범죄,교통범죄,서울,86560,2013
노동범죄,노동범죄,서울,243,2013
안보범죄,안보범죄,서울,56,2013
선거범죄,선거범죄,서울,76,2013
병역범죄,병역범죄,서울,7242,2013
기타범죄,기타범죄,서울,34911,2013
강력범죄 ,살인기수,부산,26,2013
강력범죄 ,살인미수등,부산,50,2013
강력범죄 ,강도,부산,224,2013
강력범죄 ,강간,부산,470,2013
강력범죄 ,유사강간,부산,15,2013
강력범죄 ,강제추행,부산,1179,2013
강력범죄 ,기타 강간 강제추행등,부산,126,2013
강력범죄 ,방화,부산,113,2013
절도범죄,절도,부산,23887,2013
폭력범죄 ,상해,부산,6113,2013
폭력범죄 ,폭행,부산,7139,2013
폭력범죄 ,체포 감금,부산,49,2013
폭력범죄 ,협박,부산,413,2013
폭력범죄 ,약취 유인,부산,15,2013
폭력범죄 ,폭력행위등,부산,3083,2013
폭력범죄 ,공갈,부산,449,2013
폭력범죄 ,손괴,부산,3848,2013
지능범죄 ,직무유기,부산,40,2013
지능범죄 ,직권남용,부산,26,2013
지능범죄 ,증수뢰,부산,24,2013
지능범죄 ,통화,부산,167,2013
지능범죄 ,문서 인장,부산,1063,2013
지능범죄 ,유가증권인지,부산,20,2013
지능범죄 ,사기,부산,23617,2013
지능범죄 ,횡령,부산,2976,2013
지능범죄 ,배임,부산,258,2013
풍속범죄 ,성풍속범죄,부산,2617,2013
풍속범죄 ,도박범죄,부산,544,2013
특별경제범죄 ,특별경제범죄 ,부산,5365,2013
마약범죄,마약범죄,부산,669,2013
보건범죄,보건범죄,부산,2945,2013
환경범죄,환경범죄,부산,961,2013
교통범죄,교통범죄,부산,31638,2013
노동범죄,노동범죄,부산,98,2013
안보범죄,안보범죄,부산,7,2013
선거범죄,선거범죄,부산,34,2013
병역범죄,병역범죄,부산,1392,2013
기타범죄,기타범죄,부산,18418,2013
강력범죄 ,살인기수,대구,12,2013
강력범죄 ,살인미수등,대구,28,2013
강력범죄 ,강도,대구,110,2013
강력범죄 ,강간,대구,256,2013
강력범죄 ,유사강간,대구,4,2013
강력범죄 ,강제추행,대구,808,2013
강력범죄 ,기타 강간 강제추행등,대구,77,2013
강력범죄 ,방화,대구,77,2013
절도범죄,절도,대구,17481,2013
폭력범죄 ,상해,대구,3317,2013
폭력범죄 ,폭행,대구,5310,2013
폭력범죄 ,체포 감금,대구,43,2013
폭력범죄 ,협박,대구,185,2013
폭력범죄 ,약취 유인,대구,3,2013
폭력범죄 ,폭력행위등,대구,1915,2013
폭력범죄 ,공갈,대구,286,2013
폭력범죄 ,손괴,대구,3157,2013
지능범죄 ,직무유기,대구,11,2013
지능범죄 ,직권남용,대구,11,2013
지능범죄 ,증수뢰,대구,11,2013
지능범죄 ,통화,대구,187,2013
지능범죄 ,문서 인장,대구,759,2013
지능범죄 ,유가증권인지,대구,19,2013
지능범죄 ,사기,대구,11297,2013
지능범죄 ,횡령,대구,1218,2013
지능범죄 ,배임,대구,126,2013
풍속범죄 ,성풍속범죄,대구,1192,2013
풍속범죄 ,도박범죄,대구,350,2013
특별경제범죄 ,특별경제범죄 ,대구,3030,2013
마약범죄,마약범죄,대구,343,2013
보건범죄,보건범죄,대구,416,2013
환경범죄,환경범죄,대구,15,2013
교통범죄,교통범죄,대구,35431,2013
노동범죄,노동범죄,대구,73,2013
안보범죄,안보범죄,대구,8,2013
선거범죄,선거범죄,대구,19,2013
병역범죄,병역범죄,대구,949,2013
기타범죄,기타범죄,대구,7720,2013
강력범죄 ,살인기수,인천,13,2013
강력범죄 ,살인미수등,인천,26,2013
강력범죄 ,강도,인천,117,2013
강력범죄 ,강간,인천,308,2013
강력범죄 ,유사강간,인천,10,2013
강력범죄 ,강제추행,인천,882,2013
강력범죄 ,기타 강간 강제추행등,인천,87,2013
강력범죄 ,방화,인천,99,2013
절도범죄,절도,인천,10989,2013
폭력범죄 ,상해,인천,2730,2013
폭력범죄 ,폭행,인천,7802,2013
폭력범죄 ,체포 감금,인천,42,2013
폭력범죄 ,협박,인천,162,2013
폭력범죄 ,약취 유인,인천,8,2013
폭력범죄 ,폭력행위등,인천,2412,2013
폭력범죄 ,공갈,인천,367,2013
폭력범죄 ,손괴,인천,3046,2013
지능범죄 ,직무유기,인천,21,2013
지능범죄 ,직권남용,인천,9,2013
지능범죄 ,증수뢰,인천,12,2013
지능범죄 ,통화,인천,227,2013
지능범죄 ,문서 인장,인천,963,2013
지능범죄 ,유가증권인지,인천,27,2013
지능범죄 ,사기,인천,15211,2013
지능범죄 ,횡령,인천,2236,2013
지능범죄 ,배임,인천,251,2013
풍속범죄 ,성풍속범죄,인천,1223,2013
풍속범죄 ,도박범죄,인천,409,2013
특별경제범죄 ,특별경제범죄 ,인천,4902,2013
마약범죄,마약범죄,인천,356,2013
보건범죄,보건범죄,인천,716,2013
환경범죄,환경범죄,인천,53,2013
교통범죄,교통범죄,인천,30232,2013
노동범죄,노동범죄,인천,118,2013
안보범죄,안보범죄,인천,7,2013
선거범죄,선거범죄,인천,6,2013
병역범죄,병역범죄,인천,2024,2013
기타범죄,기타범죄,인천,10953,2013
강력범죄 ,살인기수,광주,6,2013
강력범죄 ,살인미수등,광주,17,2013
강력범죄 ,강도,광주,86,2013
강력범죄 ,강간,광주,246,2013
강력범죄 ,유사강간,광주,12,2013
강력범죄 ,강제추행,광주,519,2013
강력범죄 ,기타 강간 강제추행등,광주,46,2013
강력범죄 ,방화,광주,46,2013
절도범죄,절도,광주,12419,2013
폭력범죄 ,상해,광주,1255,2013
폭력범죄 ,폭행,광주,5609,2013
폭력범죄 ,체포 감금,광주,28,2013
폭력범죄 ,협박,광주,167,2013
폭력범죄 ,약취 유인,광주,7,2013
폭력범죄 ,폭력행위등,광주,1081,2013
폭력범죄 ,공갈,광주,130,2013
폭력범죄 ,손괴,광주,1934,2013
지능범죄 ,직무유기,광주,11,2013
지능범죄 ,직권남용,광주,3,2013
지능범죄 ,증수뢰,광주,2,2013
지능범죄 ,통화,광주,41,2013
지능범죄 ,문서 인장,광주,721,2013
지능범죄 ,유가증권인지,광주,14,2013
지능범죄 ,사기,광주,7920,2013
지능범죄 ,횡령,광주,1019,2013
지능범죄 ,배임,광주,81,2013
풍속범죄 ,성풍속범죄,광주,688,2013
풍속범죄 ,도박범죄,광주,334,2013
특별경제범죄 ,특별경제범죄 ,광주,1837,2013
마약범죄,마약범죄,광주,45,2013
보건범죄,보건범죄,광주,343,2013
환경범죄,환경범죄,광주,9,2013
교통범죄,교통범죄,광주,26251,2013
노동범죄,노동범죄,광주,75,2013
안보범죄,안보범죄,광주,2,2013
선거범죄,선거범죄,광주,7,2013
병역범죄,병역범죄,광주,483,2013
기타범죄,기타범죄,광주,4540,2013
강력범죄 ,살인기수,대전,12,2013
강력범죄 ,살인미수등,대전,18,2013
강력범죄 ,강도,대전,69,2013
강력범죄 ,강간,대전,198,2013
강력범죄 ,유사강간,대전,2,2013
강력범죄 ,강제추행,대전,395,2013
강력범죄 ,기타 강간 강제추행등,대전,49,2013
강력범죄 ,방화,대전,66,2013
절도범죄,절도,대전,11717,2013
폭력범죄 ,상해,대전,1845,2013
폭력범죄 ,폭행,대전,2079,2013
폭력범죄 ,체포 감금,대전,27,2013
폭력범죄 ,협박,대전,145,2013
폭력범죄 ,약취 유인,대전,3,2013
폭력범죄 ,폭력행위등,대전,1013,2013
폭력범죄 ,공갈,대전,108,2013
폭력범죄 ,손괴,대전,1784,2013
지능범죄 ,직무유기,대전,14,2013
지능범죄 ,직권남용,대전,12,2013
지능범죄 ,증수뢰,대전,12,2013
지능범죄 ,통화,대전,111,2013
지능범죄 ,문서 인장,대전,475,2013
지능범죄 ,유가증권인지,대전,9,2013
지능범죄 ,사기,대전,8158,2013
지능범죄 ,횡령,대전,876,2013
지능범죄 ,배임,대전,75,2013
풍속범죄 ,성풍속범죄,대전,667,2013
풍속범죄 ,도박범죄,대전,431,2013
특별경제범죄 ,특별경제범죄 ,대전,1430,2013
마약범죄,마약범죄,대전,95,2013
보건범죄,보건범죄,대전,234,2013
환경범죄,환경범죄,대전,15,2013
교통범죄,교통범죄,대전,11847,2013
노동범죄,노동범죄,대전,26,2013
안보범죄,안보범죄,대전,1,2013
선거범죄,선거범죄,대전,8,2013
병역범죄,병역범죄,대전,560,2013
기타범죄,기타범죄,대전,3831,2013
강력범죄 ,살인기수,울산,10,2013
강력범죄 ,살인미수등,울산,8,2013
강력범죄 ,강도,울산,45,2013
강력범죄 ,강간,울산,114,2013
강력범죄 ,유사강간,울산,6,2013
강력범죄 ,강제추행,울산,284,2013
강력범죄 ,기타 강간 강제추행등,울산,45,2013
강력범죄 ,방화,울산,38,2013
절도범죄,절도,울산,6643,2013
폭력범죄 ,상해,울산,1445,2013
폭력범죄 ,폭행,울산,3361,2013
폭력범죄 ,체포 감금,울산,30,2013
폭력범죄 ,협박,울산,104,2013
폭력범죄 ,약취 유인,울산,3,2013
폭력범죄 ,폭력행위등,울산,1026,2013
폭력범죄 ,공갈,울산,100,2013
폭력범죄 ,손괴,울산,1652,2013
지능범죄 ,직무유기,울산,18,2013
지능범죄 ,직권남용,울산,8,2013
지능범죄 ,증수뢰,울산,7,2013
지능범죄 ,통화,울산,44,2013
지능범죄 ,문서 인장,울산,318,2013
지능범죄 ,유가증권인지,울산,3,2013
지능범죄 ,사기,울산,5133,2013
지능범죄 ,횡령,울산,534,2013
