범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
강력범죄,살인기수,365,67,20,13,17,11,8,12,7,6,4,4,2,4,7,1,1,8,4,8,11,2,0,3,0,3,4,4,3,5,1,3,1,1,1,5,1,1,2,1,5,2,0,0,7,9,3,2,3,0,0,2,3,41,30
강력범죄,살인미수등,564,96,41,23,34,7,16,11,13,7,6,7,6,15,13,1,7,12,0,9,17,0,7,5,6,2,8,2,3,5,6,4,7,1,1,6,4,1,0,2,4,1,1,1,5,6,4,6,2,3,1,5,3,66,44
강력범죄,강도,1446,274,161,60,103,44,64,29,25,38,30,21,7,30,26,4,10,42,13,14,33,9,15,14,7,13,22,6,9,9,20,9,17,9,5,12,8,6,0,14,2,4,3,0,11,14,5,2,8,6,6,2,4,82,65
강력범죄,강간,5151,969,383,216,304,216,181,132,105,157,83,68,52,79,85,12,48,86,63,73,78,42,67,34,21,50,82,43,10,48,50,30,42,34,26,50,28,15,25,23,27,23,14,16,53,36,29,35,23,22,11,15,13,393,328
강력범죄,유사강간,518,118,24,21,35,17,14,10,12,21,12,4,4,4,8,0,4,2,1,9,13,1,10,3,2,6,6,2,9,2,6,2,1,5,2,2,5,5,2,2,2,2,1,1,9,5,3,3,3,1,7,2,1,38,33
강력범죄,강제추행,15059,4282,991,645,924,495,362,293,291,425,319,176,180,229,173,77,90,242,58,256,197,81,157,59,62,81,177,51,71,75,161,55,114,72,67,132,56,55,36,54,64,62,25,24,209,171,89,59,59,73,48,26,39,992,764
강력범죄,기타 강간 강제추행등,558,94,37,20,31,22,12,9,7,23,14,6,4,12,13,2,8,6,4,7,12,3,6,2,4,4,10,1,7,7,4,3,7,3,0,9,1,0,4,1,2,1,2,1,7,6,2,1,4,3,2,3,0,50,55
강력범죄,방화,1673,315,117,86,94,48,41,36,38,40,29,11,12,23,33,6,16,30,12,40,35,8,22,10,9,10,22,13,3,6,19,6,9,7,7,26,5,4,8,5,4,12,4,6,15,25,9,9,10,9,5,3,8,140,148
절도범죄,절도,245853,55280,20136,12759,10679,8438,9495,5449,5048,6487,3941,3402,2142,4691,5862,1234,2496,4154,2032,3287,4230,1520,2304,1391,1470,2212,3945,1049,1132,1785,2160,1297,2739,1188,944,1888,832,925,679,1174,1487,1395,506,565,2791,1791,1136,1205,655,1042,769,524,634,17085,11754
폭력범죄,상해,48005,7174,4675,2736,2179,1162,1516,1353,524,938,734,496,396,798,1188,147,616,694,408,490,801,415,326,246,283,508,522,347,379,514,460,347,595,354,142,392,352,265,257,248,341,490,200,108,454,295,261,307,161,181,179,172,155,4666,3941
폭력범죄,폭행,149278,36904,8852,6607,9774,5386,4054,4213,3129,4123,3149,1567,1720,2589,2650,1188,1134,3209,698,2268,2489,1214,1901,824,893,746,1394,837,706,1048,1636,472,1463,842,826,1573,535,361,368,477,770,525,300,263,1710,1465,1078,613,668,893,270,247,102,10704,5712
폭력범죄,체포 감금,1028,186,67,39,81,26,36,20,12,25,21,14,11,13,17,4,8,17,10,15,12,6,9,5,9,9,10,7,7,12,9,13,4,9,2,15,7,9,3,3,6,4,2,4,13,6,2,10,2,4,3,5,2,93,87
폭력범죄,협박,9187,1844,682,443,433,297,286,175,167,272,170,74,83,124,161,73,76,242,58,170,290,73,109,38,50,48,94,53,49,45,95,35,92,48,43,101,69,38,30,55,46,36,10,25,115,94,74,49,29,36,9,19,14,770,547
폭력범죄,약취 유인,190,45,6,6,12,5,4,1,5,10,1,1,0,1,3,0,0,1,0,3,4,3,1,3,0,0,2,1,2,0,3,0,1,0,0,6,0,1,0,2,0,1,0,1,5,1,9,0,9,2,0,1,0,13,14
폭력범죄,폭력행위등,35686,6725,2449,1595,1988,817,1045,906,591,1101,577,450,385,623,670,144,429,757,202,462,528,347,323,267,291,276,494,223,169,242,444,214,356,141,131,395,252,137,152,163,241,229,93,76,365,375,238,144,141,183,109,127,73,3283,2477
폭력범죄,공갈,3596,634,558,263,222,118,94,79,82,89,47,57,37,36,87,19,26,49,19,34,45,20,26,25,16,23,23,19,7,27,26,18,25,12,5,21,18,10,15,18,18,9,4,1,47,33,15,16,5,17,13,6,10,271,178
