자살년도,도시,자살률
2016,서울,19.8
2016,인천,23.2
2016,제주,21
2016,세종,23.2
2016,대전,22.6
2016,광주광역시,21.6
2016,대구,20.3
2016,울산,21.9
2016,부산,23.1
2016,경기 수원,21.2
2016,경기 성남,19.5
2016,경기 의정부,24.2
2016,경기 안양,19.7
2016,경기 부천,20.6
2016,경기 광명,16.3
2016,경기 평택,21.1
2016,경기 동두천,32.8
2016,경기 안산,26.9
2016,경기 고양,17.3
2016,경기 과천,16.2
2016,경기 구리,17.6
2016,경기 남양주,17.6
2016,경기 오산,17.9
2016,경기 시흥,23.9
2016,경기 군포,14.7
2016,경기 의왕,17.6
2016,경기 하남,20.5
2016,경기 용인,18.9
2016,경기 파주,21.7
2016,경기 이천,21.1
2016,경기 안성,20.7
2016,경기 김포,16.7
2016,경기 화성,22.8
2016,경기 광주,18.4
2016,경기 양주,25.9
2016,경기 포천,27.8
2016,경기 여주,19.7
2016,강원 춘천,22.8
2016,강원 원주,25.5
2016,강원 강릉,27.6
2016,강원 동해,23.2
2016,강원 태백,33.2
2016,강원 속초,33.4
2016,강원 삼척,15.4
2016,충북 충주,30.4
2016,충북 제천,28.8
2016,충북 청주,27.7
2016,충남 천안,28.3
2016,충남 공주,26.5
2016,충남 보령,34.6
2016,충남 아산,23.1
2016,충남 서산,24.3
2016,충남 논산,23.9
2016,충남 계룡,15.8
2016,충남 당진,20.4
2016,전북 전주,17
2016,전북 군산,25.8
2016,전북 익산,25.1
2016,전북 정읍,23.5
2016,전북 남원,26.5
2016,전북 김제,38.4
2016,전남 목포,25.8
2016,전남 여수,17.7
2016,전남 순천,21.2
2016,전남 나주,26.9
2016,전남 광양,22.3
2016,경북 포항,24.4
2016,경북 경주,25.5
2016,경북 김천,29.1
2016,경북 안동,26.9
2016,경북 구미,21.9
2016,경북 영주,23.3
2016,경북 영천,34.1
2016,경북 상주,28.4
2016,경북 문경,16
2016,경북 경산,17.9
2016,경남 창원,22.4
2016,경남 통영,31.4
2016,경남 김해,23.1
2016,경남 밀양,22.5
2016,경남 거제,33.3
