징수년,징수시도,징수시군구,징수분류,징수금액
2014,경남,고성군,취득세,15242523
2014,경남,창원시,취득세,393692567
2014,경남,진주시,취득세,114579436
2014,경남,통영시,취득세,33108259
2014,경남,사천시,취득세,26838215
2014,경남,김해시,취득세,217887099
2014,경남,밀양시,취득세,34909723
2014,경남,거제시,취득세,107723741
2014,경남,양산시,취득세,143365305
2014,경남,의령군,취득세,5775962
2014,경남,함안군,취득세,38775051
2014,경남,창녕군,취득세,20814007
2014,경남,남해군,취득세,11546624
2014,경남,하동군,취득세,10802711
2014,경남,산청군,취득세,9806039
2014,경남,함양군,취득세,6600257
2014,경남,거창군,취득세,13260030
2014,경남,합천군,취득세,8269945
2014,경남,고성군,주민세,1435118
2014,경남,창원시,주민세,38414940
2014,경남,진주시,주민세,4112021
2014,경남,통영시,주민세,2117679
2014,경남,사천시,주민세,4168980
2014,경남,김해시,주민세,11697434
2014,경남,밀양시,주민세,1597834
2014,경남,거제시,주민세,21265568
2014,경남,양산시,주민세,8703444
2014,경남,의령군,주민세,368921
2014,경남,함안군,주민세,2875172
2014,경남,창녕군,주민세,1657429
2014,경남,남해군,주민세,384330
2014,경남,하동군,주민세,925425
2014,경남,산청군,주민세,328777
2014,경남,함양군,주민세,438640
2014,경남,거창군,주민세,646670
2014,경남,합천군,주민세,361620
2014,경남,고성군,지방소득세,5390440
2014,경남,창원시,지방소득세,213188135
2014,경남,진주시,지방소득세,30690837
2014,경남,통영시,지방소득세,10053641
2014,경남,사천시,지방소득세,15498505
2014,경남,김해시,지방소득세,70273098
2014,경남,밀양시,지방소득세,8323069
2014,경남,거제시,지방소득세,98525268
2014,경남,양산시,지방소득세,46943109
2014,경남,의령군,지방소득세,2058015
2014,경남,함안군,지방소득세,13162127
2014,경남,창녕군,지방소득세,6606783
2014,경남,남해군,지방소득세,2364238
2014,경남,하동군,지방소득세,2816614
2014,경남,산청군,지방소득세,2377402
2014,경남,함양군,지방소득세,2029826
2014,경남,거창군,지방소득세,3131467
2014,경남,합천군,지방소득세,2391087
2015,경남,고성군,취득세,17643339
2015,경남,창원시,취득세,490807310
2015,경남,진주시,취득세,124149539
2015,경남,통영시,취득세,40493343
2015,경남,사천시,취득세,42961326
2015,경남,김해시,취득세,237177250
2015,경남,밀양시,취득세,47195963
2015,경남,거제시,취득세,124881469
2015,경남,양산시,취득세,170449295
2015,경남,의령군,취득세,7823033
2015,경남,함안군,취득세,34090222
2015,경남,창녕군,취득세,25588622
2015,경남,남해군,취득세,11425533
2015,경남,하동군,취득세,12533515
2015,경남,산청군,취득세,10357237
2015,경남,함양군,취득세,8712023
2015,경남,거창군,취득세,13638526
2015,경남,합천군,취득세,9201129
2015,경남,고성군,주민세,1527348
2015,경남,창원시,주민세,40838481
2015,경남,진주시,주민세,6049823
2015,경남,통영시,주민세,2314643
2015,경남,사천시,주민세,4460799
2015,경남,김해시,주민세,12237399
2015,경남,밀양시,주민세,1736436
2015,경남,거제시,주민세,23127438
2015,경남,양산시,주민세,9966099
2015,경남,의령군,주민세,387740
2015,경남,함안군,주민세,3073665
2015,경남,창녕군,주민세,1612681
