범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
강력범죄,살인기수,356,46,29,17,20,9,16,7,6,10,5,3,6,1,3,1,5,4,2,6,4,1,4,4,1,1,4,3,3,4,4,3,5,3,0,3,0,2,1,2,0,2,1,0,2,8,3,3,1,1,2,1,3,30,51
강력범죄,살인미수등,558,100,43,12,28,8,9,15,11,19,4,7,4,6,15,1,6,20,3,5,12,4,9,5,2,4,11,0,3,3,6,3,4,2,1,7,0,6,1,1,5,0,0,3,13,7,2,1,0,5,3,3,0,67,49
강력범죄,강도,"1,149",260,137,51,88,47,35,33,17,26,17,12,7,17,26,4,7,19,6,11,25,5,17,15,8,15,8,6,5,2,9,6,10,4,3,9,5,0,1,6,9,5,1,1,5,9,4,7,2,1,5,2,1,72,46
강력범죄,강간,"5,155","1,129",314,197,347,170,171,112,108,124,114,62,45,85,68,32,57,98,32,83,84,33,45,25,19,35,76,20,33,54,48,21,31,30,18,60,30,29,13,36,33,18,15,11,38,57,38,31,26,30,10,14,13,367,366
강력범죄,유사강간,583,123,28,37,47,21,14,16,15,24,10,7,4,13,7,3,7,8,1,4,16,5,6,4,2,4,5,2,3,4,9,1,6,1,2,2,5,7,0,2,3,4,0,4,10,4,3,4,1,3,0,1,2,36,33
강력범죄,강제추행,"16,054","4,667",951,632,"1,176",488,420,293,339,408,348,165,220,222,202,92,97,307,74,247,318,97,141,64,50,72,208,67,73,60,148,60,111,72,66,165,58,58,44,50,57,73,17,22,184,120,85,76,64,83,56,34,26,1084,743
강력범죄,기타 강간  강제추행등,408,72,30,14,27,15,15,9,10,14,6,6,3,3,7,2,3,3,3,4,8,5,3,3,4,1,5,0,0,2,8,1,4,3,2,2,1,3,0,0,4,2,1,1,3,1,1,1,1,2,1,1,0,41,47
강력범죄,방화,"1,502",286,98,68,84,38,44,38,24,29,21,12,9,23,29,8,10,32,6,22,26,15,17,13,7,9,30,8,9,15,20,13,17,7,4,18,8,9,5,3,16,10,5,2,12,15,9,5,2,11,8,7,6,125,135
절도범죄,절도범죄,"203,037","46,861","16,777","9,171","10,025","6,050","6,981","4,227","4,471","5,610","3,963","2,386","2,003","3,711","3,760","1,221","1,942","3,285","1,700","2,606","3,500","1,196","1,753","1,153","1,010","1,562","3,277","1,076","1,117","1,310","1,813","1,143","2,380",884,837,"1,470",786,785,574,"1,319","1,256","1,114",450,245,"2,468","1,500","1,291",974,632,936,674,463,526,14974,"9,839"
폭력범죄,상해,"50,028","6,949","4,637","2,863","2,289","1,309","1,415","1,422",560,951,755,499,458,835,"1,243",237,642,546,395,555,982,342,391,202,342,446,613,336,343,506,568,364,681,330,164,395,489,263,276,243,383,532,186,119,474,343,288,312,196,184,208,174,174,5294,"4,325"
