년도,범죄대분류,범죄중분류,계,일,월,화,수,목,금,토,일,월,화,수,목,금,토
2014,강력범죄,강간,5078,789,628,697,673,680,746,865,0.1554,0.1237,0.1373,0.1325,0.1339,0.1469,0.1703
2014,강력범죄,강도,1586,220,240,209,225,231,226,235,0.1387,0.1513,0.1318,0.1419,0.1456,0.1425,0.1482
2014,강력범죄,강제추행,14611,2126,1901,2129,2042,2045,2071,2297,0.1455,0.1301,0.1457,0.1398,0.14,0.1417,0.1572
2014,강력범죄,기타강간·강제추행등,991,159,131,165,130,125,128,153,0.1604,0.1322,0.1665,0.1312,0.1261,0.1292,0.1544
2014,강력범죄,방화,1723,279,233,237,221,233,243,277,0.1619,0.1352,0.1376,0.1283,0.1352,0.141,0.1608
2014,강력범죄,살인기수,372,47,59,68,56,49,45,48,0.1263,0.1586,0.1828,0.1505,0.1317,0.121,0.129
2014,강력범죄,살인미수등,541,73,74,85,82,87,74,66,0.1349,0.1368,0.1571,0.1516,0.1608,0.1368,0.122
2014,강력범죄,유사강간,375,65,46,53,47,44,45,75,0.1733,0.1227,0.1413,0.1253,0.1173,0.12,0.2
2014,교통범죄,교통범죄,573493,74665,76089,80751,81707,82368,89157,88756,0.1302,0.1327,0.1408,0.1425,0.1436,0.1555,0.1548
2014,기타범죄,기타,180526,19471,26773,28497,28295,27137,27629,22724,0.1079,0.1483,0.1579,0.1567,0.1503,0.153,0.1259
2014,노동범죄,노동범죄,1308,42,188,181,163,192,479,63,0.0321,0.1437,0.1384,0.1246,0.1468,0.3662,0.0482
2014,마약범죄,마약범죄,4825,538,766,740,714,717,696,654,0.1115,0.1588,0.1534,0.148,0.1486,0.1442,0.1355
2014,병역범죄,병역범죄,21549,206,5174,5263,3419,3861,3444,182,0.0096,0.2401,0.2442,0.1587,0.1792,0.1598,0.0084
2014,보건범죄,보건범죄,14657,917,2503,2634,2563,2479,2276,1285,0.0626,0.1708,0.1797,0.1749,0.1691,0.1553,0.0877
2014,선거범죄,선거범죄,1874,212,268,282,317,302,265,228,0.1131,0.143,0.1505,0.1692,0.1612,0.1414,0.1217
2014,안보범죄,안보범죄,84,10,9,18,13,14,13,7,0.119,0.1071,0.2143,0.1548,0.1667,0.1548,0.0833
2014,절도범죄,절도범죄,266222,36895,35699,36970,36689,36805,40471,42693,0.1386,0.1341,0.1389,0.1378,0.1382,0.152,0.1604
2014,지능범죄,문서·인장,14441,756,2799,2511,2457,2494,2412,1012,0.0524,0.1938,0.1739,0.1701,0.1727,0.167,0.0701
2014,지능범죄,배임,4456,298,722,794,747,726,842,327,0.0669,0.162,0.1782,0.1676,0.1629,0.189,0.0734
2014,지능범죄,사기,238409,18083,40767,40381,39182,39064,39947,20985,0.0758,0.171,0.1694,0.1643,0.1639,0.1676,0.088
2014,지능범죄,유가증권인지,360,21,65,66,54,69,58,27,0.0583,0.1806,0.1833,0.15,0.1917,0.1611,0.075
2014,지능범죄,증수뢰,251,18,35,32,53,44,38,31,0.0717,0.1394,0.1275,0.2112,0.1753,0.1514,0.1235
2014,지능범죄,직권남용,364,29,60,60,52,58,65,40,0.0797,0.1648,0.1648,0.1429,0.1593,0.1786,0.1099
2014,지능범죄,직무유기,577,43,121,75,97,88,112,41,0.0745,0.2097,0.13,0.1681,0.1525,0.1941,0.0711
2014,지능범죄,통화,2770,149,547,507,467,466,483,151,0.0538,0.1975,0.183,0.1686,0.1682,0.1744,0.0545
2014,지능범죄,횡령,37024,3904,5528,5729,5544,5435,6116,4768,0.1054,0.1493,0.1547,0.1497,0.1468,0.1652,0.1288
2014,특별경제범죄,특별경제범죄,72908,7461,11928,11706,11536,10981,11312,7984,0.1023,0.1636,0.1606,0.1582,0.1506,0.1552,0.1095
2014,폭력범죄,공갈,4862,563,705,782,683,713,743,673,0.1158,0.145,0.1608,0.1405,0.1466,0.1528,0.1384
2014,폭력범죄,상해,50281,7462,6537,7217,6888,7013,7236,7928,0.1484,0.13,0.1435,0.137,0.1395,0.1439,0.1577
2014,폭력범죄,손괴,57997,8446,7469,7759,7899,7914,8858,9652,0.1456,0.1288,0.1338,0.1362,0.1365,0.1527,0.1664
2014,폭력범죄,약취·유인,198,26,27,32,32,34,27,20,0.1313,0.1364,0.1616,0.1616,0.1717,0.1364,0.101
2014,폭력범죄,체포·감금,945,106,136,170,145,110,136,142,0.1122,0.1439,0.1799,0.1534,0.1164,0.1439,0.1503
2014,폭력범죄,폭력행위등,37689,6338,4813,4987,4954,5051,5187,6359,0.1682,0.1277,0.1323,0.1314,0.134,0.1376,0.1687
2014,폭력범죄,폭행,132920,20924,16507,17984,18258,17897,19132,22218,0.1574,0.1242,0.1353,0.1374,0.1346,0.1439,0.1672
2014,폭력범죄,협박,5187,628,779,784,780,774,788,654,0.1211,0.1502,0.1511,0.1504,0.1492,0.1519,0.1261
2014,풍속범죄,도박범죄,8293,1071,1055,1273,1261,1215,1296,1122,0.1291,0.1272,0.1535,0.1521,0.1465,0.1563,0.1353
2014,풍속범죄,성풍속범죄,16683,1997,2292,2689,2532,2560,2563,2050,0.1197,0.1374,0.1612,0.1518,0.1534,0.1536,0.1229
2014,환경범죄,환경범죄,2536,177,450,464,430,407,428,180,0.0698,0.1774,0.183,0.1696,0.1605,0.1688,0.071
2015,강력범죄,강간,"5,151",875,670,691,683,629,699,904,0.1699,0.1301,0.1341,0.1326,0.1221,0.1357,0.1755
