행정구역별,연도별,연령별,총인구,총인구_남자,총인구_여자,내국인_남자,내국인_여자,총인구_외국인,외국인_남자,외국인_여자,외국인비율
서울,2017,합계,9741871,4757642,4984229,4592393,4805551,343927,165249,178678,0.0353
서울,2017,0~4세,354174,181170,173004,177401,169310,7463,3769,3694,0.0211
서울,2017,5~9세,363637,186597,177040,184234,174832,4571,2363,2208,0.0126
서울,2017,10~14세,371556,191682,179874,190196,178551,2809,1486,1323,0.0076
서울,2017,15~19세,496075,251735,244340,247939,238520,9616,3796,5820,0.0194
서울,2017,20~24세,699945,338539,361406,325097,336472,38376,13442,24934,0.0548
서울,2017,25~29세,777218,383505,393713,364581,370742,41895,18924,22971,0.0539
서울,2017,30~34세,766607,384052,382555,363965,363718,38924,20087,18837,0.0508
서울,2017,35~39세,806213,407731,398482,391846,385786,28581,15885,12696,0.0355
서울,2017,40~44세,756546,378503,378043,364563,367465,24518,13940,10578,0.0324
서울,2017,45~49세,847475,419571,427904,402561,412267,32647,17010,15637,0.0385
서울,2017,50~54세,756194,370127,386067,352153,367410,36631,17974,18657,0.0484
서울,2017,55~59세,790279,378648,411631,364292,395787,30200,14356,15844,0.0382
서울,2017,60~64세,645887,306492,339395,292599,325224,28064,13893,14171,0.0435
서울,2017,65~69세,458490,216809,241681,211180,235591,11719,5629,6090,0.0256
서울,2017,70~74세,346471,160386,186085,158941,183967,3563,1445,2118,0.0103
서울,2017,75~79세,268057,120169,147888,119498,146257,2302,671,1631,0.0086
서울,2017,80~84세,145012,55768,89244,55411,88297,1304,357,947,0.009
서울,2017,85세이상,92035,26158,65877,25936,65355,744,222,522,0.0081
서울,2017,85~89세,64679,19627,45052,19476,44686,517,151,366,0.008
서울,2017,90~94세,21748,5267,16481,5219,16367,162,48,114,0.0074
서울,2017,95~99세,4943,1142,3801,1126,3774,43,16,27,0.0087
서울,2017,100세이상,665,122,543,115,528,22,7,15,0.0331
서울,2017,15세미만,1089367,559449,529918,551831,522693,14843,7618,7225,0.0136
서울,2017,15~64세,7342439,3618903,3723536,3469596,3563391,309452,149307,160145,0.0421
서울,2017,65세이상,1310065,579290,730775,570966,719467,19632,8324,11308,0.015
서울,2017,평균연령,41.5,40.6,42.2,40.6,42.3,-0.1,0,-0.1,-0.0024
서울,2017,중위연령,41.6,40.7,42.5,40.7,42.6,-0.1,0,-0.1,-0.0024
부산,2017,합계,3416918,1680933,1735985,1652803,1715307,48808,28130,20678,0.0143
부산,2017,0~4세,124080,63735,60345,63501,60099,480,234,246,0.0039
부산,2017,5~9세,131344,67540,63804,67393,63650,301,147,154,0.0023
부산,2017,10~14세,129597,67142,62455,67018,62318,261,124,137,0.002
부산,2017,15~19세,182238,95018,87220,94050,86105,2083,968,1115,0.0114
부산,2017,20~24세,240049,126463,113586,122182,108971,8896,4281,4615,0.0371
부산,2017,25~29세,218670,115467,103203,109902,99591,9177,5565,3612,0.042
부산,2017,30~34세,208550,107923,100627,102627,97927,7996,5296,2700,0.0383
부산,2017,35~39세,255424,131196,124228,127445,122435,5544,3751,1793,0.0217
부산,2017,40~44세,244934,123941,120993,121441,119556,3937,2500,1437,0.0161
부산,2017,45~49세,282671,139262,143409,137409,141982,3280,1853,1427,0.0116
부산,2017,50~54세,270775,130892,139883,129522,138643,2610,1370,1240,0.0096
부산,2017,55~59세,313603,149182,164421,148322,163494,1787,860,927,0.0057
부산,2017,60~64세,264249,125995,138254,125336,137606,1307,659,648,0.0049
부산,2017,65~69세,195683,92502,103181,92216,102856,611,286,325,0.0031
부산,2017,70~74세,140072,64728,75344,64611,75234,227,117,110,0.0016
부산,2017,75~79세,113527,48153,65374,48088,65275,164,65,99,0.0014
부산,2017,80~84세,62714,22357,40357,22327,40307,80,30,50,0.0013
부산,2017,85세이상,38738,9437,29301,9413,29258,67,24,43,0.0017
부산,2017,85~89세,27890,7375,20515,7359,20492,39,16,23,0.0014
부산,2017,90~94세,8855,1711,7144,1708,7129,18,3,15,0.002
부산,2017,95~99세,1785,331,1454,327,1449,9,4,5,0.005
부산,2017,100세이상,208,20,188,19,188,1,1,0,0.0048
부산,2017,15세미만,385021,198417,186604,197912,186067,1042,505,537,0.0027
부산,2017,15~64세,2481163,1245339,1235824,1218236,1216310,46617,27103,19514,0.0188
부산,2017,65세이상,550734,237177,313557,236655,312930,1149,522,627,0.0021
부산,2017,평균연령,43.1,41.7,44.4,41.8,44.5,-0.2,-0.1,-0.1,-0.0046
부산,2017,중위연령,44.5,42.8,46.2,43.1,46.4,-0.5,-0.3,-0.2,-0.0112
대구,2017,합계,2453041,1218326,1234715,1200214,1221462,31365,18112,13253,0.0128
대구,2017,0~4세,94482,48279,46203,48089,45988,405,190,215,0.0043
대구,2017,5~9세,105630,54539,51091,54433,50967,230,106,124,0.0022
대구,2017,10~14세,110571,57854,52717,57777,52651,143,77,66,0.0013
대구,2017,15~19세,147500,77903,69597,77582,69201,717,321,396,0.0049
대구,2017,20~24세,174218,94590,79628,92441,77744,4033,2149,1884,0.0231
대구,2017,25~29세,155003,85155,69848,81412,67327,6264,3743,2521,0.0404
대구,2017,30~34세,146261,76811,69450,73219,67304,5738,3592,2146,0.0392
대구,2017,35~39세,180724,90576,90148,88152,88762,3810,2424,1386,0.0211
대구,2017,40~44세,191103,94604,96499,92955,95483,2665,1649,1016,0.0139
대구,2017,45~49세,224449,110254,114195,108823,113124,2502,1431,1071,0.0111
대구,2017,50~54세,208698,102629,106069,101602,105109,1987,1027,960,0.0095
대구,2017,55~59세,211613,103733,107880,103094,107247,1272,639,633,0.006
대구,2017,60~64세,160684,77547,83137,77126,82713,845,421,424,0.0053
대구,2017,65~69세,118727,55699,63028,55506,62808,413,193,220,0.0035
대구,2017,70~74세,82570,36689,45881,36611,45804,155,78,77,0.0019
대구,2017,75~79세,72619,29691,42928,29663,42871,85,28,57,0.0012
대구,2017,80~84세,42997,15264,27733,15238,27696,63,26,37,0.0015
대구,2017,85세이상,25192,6509,18683,6491,18663,38,18,20,0.0015
대구,2017,85~89세,18456,5082,13374,5067,13366,23,15,8,0.0012
대구,2017,90~94세,5490,1200,4290,1198,4281,11,2,9,0.002
대구,2017,95~99세,1105,206,899,205,897,3,1,2,0.0027
대구,2017,100세이상,141,21,120,21,119,1,0,1,0.0071
대구,2017,15세미만,310683,160672,150011,160299,149606,778,373,405,0.0025
대구,2017,15~64세,1800253,913802,886451,896406,874014,29833,17396,12437,0.0166
대구,2017,65세이상,342105,143852,198253,143509,197842,754,343,411,0.0022
대구,2017,평균연령,41.6,40.2,43,40.3,43,-0.1,-0.1,0,-0.0024
대구,2017,중위연령,43.1,41.3,44.6,41.6,44.8,-0.5,-0.3,-0.2,-0.0116
인천,2017,합계,2925967,1472081,1453886,1426308,1420489,79170,45773,33397,0.0271
인천,2017,0~4세,124268,63515,60753,62414,59692,2162,1101,1061,0.0174
인천,2017,5~9세,136093,69818,66275,69171,65715,1207,647,560,0.0089
인천,2017,10~14세,131586,67772,63814,67360,63458,768,412,356,0.0058
인천,2017,15~19세,162955,84290,78665,83538,77898,1519,752,767,0.0093
인천,2017,20~24세,197084,104667,92417,101150,89814,6120,3517,2603,0.0311
인천,2017,25~29세,204316,107177,97139,99678,92611,12027,7499,4528,0.0589
인천,2017,30~34세,204842,107338,97504,98538,92594,13710,8800,4910,0.0669
인천,2017,35~39세,245608,127772,117836,121144,114319,10145,6628,3517,0.0413
인천,2017,40~44세,236594,121708,114886,117476,112190,6928,4232,2696,0.0293
인천,2017,45~49세,264819,132593,132226,128857,129070,6892,3736,3156,0.026
인천,2017,50~54세,248976,124334,124642,121264,121688,6024,3070,2954,0.0242
인천,2017,55~59세,253235,127747,125488,125516,123210,4509,2231,2278,0.0178
인천,2017,60~64세,175988,87511,88477,85743,86464,3781,1768,2013,0.0215
인천,2017,65~69세,114342,56188,58154,55316,57115,1911,872,1039,0.0167
인천,2017,70~74세,85084,39244,45840,38986,45433,665,258,407,0.0078
인천,2017,75~79세,69168,28614,40554,28466,40278,424,148,276,0.0061
인천,2017,80~84세,41984,14539,27445,14475,27259,250,64,186,0.006
인천,2017,85세이상,29025,7254,21771,7216,21681,128,38,90,0.0044
인천,2017,85~89세,20262,5320,14942,5294,14869,99,26,73,0.0049
인천,2017,90~94세,6951,1536,5415,1531,5400,20,5,15,0.0029
인천,2017,95~99세,1607,363,1244,358,1242,7,5,2,0.0044
인천,2017,100세이상,205,35,170,33,170,2,2,0,0.0098
인천,2017,15세미만,391947,201105,190842,198945,188865,4137,2160,1977,0.0106
인천,2017,15~64세,2194417,1125137,1069280,1082904,1039858,71655,42233,29422,0.0327
인천,2017,65세이상,339603,145839,193764,144459,191766,3378,1380,1998,0.0099
인천,2017,평균연령,40.4,39.4,41.4,39.5,41.4,-0.1,-0.1,0,-0.0025
인천,2017,중위연령,41.3,40.2,42.4,40.5,42.6,-0.5,-0.3,-0.2,-0.0121
광주광역시,2017,합계,1496172,745122,751050,730590,739530,26052,14532,11520,0.0174
광주광역시,2017,0~4세,62390,32071,30319,31851,30115,424,220,204,0.0068
광주광역시,2017,5~9세,73720,38125,35595,37996,35467,257,129,128,0.0035
광주광역시,2017,10~14세,76924,40081,36843,39989,36750,185,92,93,0.0024
광주광역시,2017,15~19세,101974,52426,49548,52003,49205,766,423,343,0.0075
광주광역시,2017,20~24세,119367,62113,57254,59629,55021,4717,2484,2233,0.0395
광주광역시,2017,25~29세,97045,50937,46108,47859,43997,5189,3078,2111,0.0535
광주광역시,2017,30~34세,95426,49153,46273,46800,44659,3967,2353,1614,0.0416
광주광역시,2017,35~39세,118159,59325,58834,57623,57752,2784,1702,1082,0.0236
