징수년,징수시도,징수시군구,징수분류,징수금액
2014,인천,중구,취득세,74917497
2014,인천,동구,취득세,15495435
2014,인천,남구,취득세,83792310
2014,인천,연수구,취득세,184481625
2014,인천,남동구,취득세,234192865
2014,인천,부평구,취득세,112629151
2014,인천,계양구,취득세,84770911
2014,인천,서구,취득세,178520637
2014,인천,강화군,취득세,21974661
2014,인천,옹진군,취득세,24064528
2014,인천,중구,주민세,586146
2014,인천,동구,주민세,375253
2014,인천,남구,주민세,1216267
2014,인천,연수구,주민세,907763
2014,인천,남동구,주민세,1935074
2014,인천,부평구,주민세,1675046
2014,인천,계양구,주민세,989746
2014,인천,서구,주민세,1713100
2014,인천,강화군,주민세,538643
2014,인천,옹진군,주민세,682683
2014,인천,중구,지방소득세,59768917
2014,인천,동구,지방소득세,12555420
2014,인천,남구,지방소득세,25249935
2014,인천,연수구,지방소득세,50720024
2014,인천,남동구,지방소득세,68920114
2014,인천,부평구,지방소득세,50859689
2014,인천,계양구,지방소득세,15755574
2014,인천,서구,지방소득세,53906993
2014,인천,강화군,지방소득세,4147848
2014,인천,옹진군,지방소득세,3434773
2015,인천,중구,취득세,86188981
2015,인천,동구,취득세,13803772
2015,인천,남구,취득세,110479389
2015,인천,연수구,취득세,252978667
2015,인천,남동구,취득세,312397718
2015,인천,부평구,취득세,153365881
2015,인천,계양구,취득세,103339965
2015,인천,서구,취득세,243717381
2015,인천,강화군,취득세,29314896
2015,인천,옹진군,취득세,9869011
2015,인천,중구,주민세,1051862
2015,인천,동구,주민세,644379
2015,인천,남구,주민세,2286488
2015,인천,연수구,주민세,1729233
2015,인천,남동구,주민세,3590331
2015,인천,부평구,주민세,3090856
2015,인천,계양구,주민세,1820598
2015,인천,서구,주민세,3099603
2015,인천,강화군,주민세,537786
2015,인천,옹진군,주민세,676551
2015,인천,중구,지방소득세,69219096
2015,인천,동구,지방소득세,14030807
2015,인천,남구,지방소득세,29763433
2015,인천,연수구,지방소득세,64302193
2015,인천,남동구,지방소득세,96688199
2015,인천,부평구,지방소득세,60835762
2015,인천,계양구,지방소득세,17931097
2015,인천,서구,지방소득세,68028481
2015,인천,강화군,지방소득세,4930340
2015,인천,옹진군,지방소득세,4407668
2016,인천,중구,취득세,104444563
2016,인천,동구,취득세,14486473
2016,인천,남구,취득세,163428876
2016,인천,연수구,취득세,210909544
2016,인천,남동구,취득세,261571652
2016,인천,부평구,취득세,174714902
2016,인천,계양구,취득세,107937028
2016,인천,서구,취득세,260416444
2016,인천,강화군,취득세,28932464
2016,인천,옹진군,취득세,8823264
2016,인천,중구,주민세,1124565
2016,인천,동구,주민세,649686
2016,인천,남구,주민세,2383186
2016,인천,연수구,주민세,1917763
2016,인천,남동구,주민세,3722367
2016,인천,부평구,주민세,3194073
2016,인천,계양구,주민세,1850222
2016,인천,서구,주민세,3275985
2016,인천,강화군,주민세,619505
2016,인천,옹진군,주민세,835150
2016,인천,중구,지방소득세,75844792
2016,인천,동구,지방소득세,14296497
2016,인천,남구,지방소득세,34540459
2016,인천,연수구,지방소득세,101344375
2016,인천,남동구,지방소득세,96164188
2016,인천,부평구,지방소득세,64151453
2016,인천,계양구,지방소득세,22000497
2016,인천,서구,지방소득세,76441691
2016,인천,강화군,지방소득세,6106019
2016,인천,옹진군,지방소득세,7266823
