징수년,징수시도,징수시군구,징수분류,징수금액
2014,충남,천안시,취득세,214053961
2014,충남,공주시,취득세,30389959
2014,충남,보령시,취득세,22833627
2014,충남,아산시,취득세,150329603
2014,충남,서산시,취득세,65858747
2014,충남,논산시,취득세,24758578
2014,충남,계룡시,취득세,5972572
2014,충남,당진시,취득세,74981160
2014,충남,금산군,취득세,13348776
2014,충남,부여군,취득세,11986644
2014,충남,서천군,취득세,11172986
2014,충남,청양군,취득세,5685901
2014,충남,홍성군,취득세,32139668
2014,충남,예산군,취득세,23828582
2014,충남,태안군,취득세,23126649
2014,충남,천안시,주민세,21624240
2014,충남,공주시,주민세,1862668
2014,충남,보령시,주민세,2229454
2014,충남,아산시,주민세,24174752
2014,충남,서산시,주민세,7535067
2014,충남,논산시,주민세,1721908
2014,충남,계룡시,주민세,214573
2014,충남,당진시,주민세,9858045
2014,충남,금산군,주민세,1575694
2014,충남,부여군,주민세,830986
2014,충남,서천군,주민세,1110565
2014,충남,청양군,주민세,423119
2014,충남,홍성군,주민세,1102385
2014,충남,예산군,주민세,1407457
2014,충남,태안군,주민세,1351322
2014,충남,천안시,지방소득세,112338408
2014,충남,공주시,지방소득세,16327790
2014,충남,보령시,지방소득세,8268818
2014,충남,아산시,지방소득세,152401436
2014,충남,서산시,지방소득세,45490243
2014,충남,논산시,지방소득세,8800080
2014,충남,계룡시,지방소득세,3172741
2014,충남,당진시,지방소득세,43017658
2014,충남,금산군,지방소득세,11781455
2014,충남,부여군,지방소득세,5689930
2014,충남,서천군,지방소득세,4092089
2014,충남,청양군,지방소득세,2028858
2014,충남,홍성군,지방소득세,8510948
2014,충남,예산군,지방소득세,7373676
2014,충남,태안군,지방소득세,5683135
2015,충남,천안시,취득세,262145153
2015,충남,공주시,취득세,29333883
2015,충남,보령시,취득세,31170847
2015,충남,아산시,취득세,128076056
2015,충남,서산시,취득세,73751556
2015,충남,논산시,취득세,28674873
2015,충남,계룡시,취득세,6978791
2015,충남,당진시,취득세,92161056
2015,충남,금산군,취득세,18164072
2015,충남,부여군,취득세,16444291
2015,충남,서천군,취득세,13759698
2015,충남,청양군,취득세,5856347
2015,충남,홍성군,취득세,37665496
2015,충남,예산군,취득세,26578102
2015,충남,태안군,취득세,32284164
2015,충남,천안시,주민세,21850115
2015,충남,공주시,주민세,1882263
2015,충남,보령시,주민세,2740928
2015,충남,아산시,주민세,24809422
2015,충남,서산시,주민세,8338674
2015,충남,논산시,주민세,1966307
2015,충남,계룡시,주민세,233974
2015,충남,당진시,주민세,10383651
2015,충남,금산군,주민세,1769542
2015,충남,부여군,주민세,877738
2015,충남,서천군,주민세,1242546
2015,충남,청양군,주민세,436583
2015,충남,홍성군,주민세,1289978
2015,충남,예산군,주민세,1466064
2015,충남,태안군,주민세,1714514
2015,충남,천안시,지방소득세,136520545
2015,충남,공주시,지방소득세,18750469
2015,충남,보령시,지방소득세,12516863
2015,충남,아산시,지방소득세,141353305
2015,충남,서산시,지방소득세,49924206
2015,충남,논산시,지방소득세,10484564
2015,충남,계룡시,지방소득세,4337022
2015,충남,당진시,지방소득세,51678301
2015,충남,금산군,지방소득세,13014080
2015,충남,부여군,지방소득세,6517419
2015,충남,서천군,지방소득세,5109916
2015,충남,청양군,지방소득세,3274689
2015,충남,홍성군,지방소득세,10098976
2015,충남,예산군,지방소득세,9449949
2015,충남,태안군,지방소득세,9767790
2016,충남,천안시,취득세,272956442
2016,충남,공주시,취득세,31478275
2016,충남,보령시,취득세,36193360
2016,충남,아산시,취득세,135948982
2016,충남,서산시,취득세,74563445
2016,충남,논산시,취득세,30079034
2016,충남,계룡시,취득세,8622743
2016,충남,당진시,취득세,108906160
2016,충남,금산군,취득세,15349966
2016,충남,부여군,취득세,13840705
2016,충남,서천군,취득세,13422316
2016,충남,청양군,취득세,6139195
2016,충남,홍성군,취득세,47613761
2016,충남,예산군,취득세,28335199
2016,충남,태안군,취득세,45098319
2016,충남,천안시,주민세,24289528
2016,충남,공주시,주민세,2529520
2016,충남,보령시,주민세,3058255
2016,충남,아산시,주민세,27119145
2016,충남,서산시,주민세,9346041
2016,충남,논산시,주민세,2448167
2016,충남,계룡시,주민세,350932
2016,충남,당진시,주민세,12401199
2016,충남,금산군,주민세,1967699
2016,충남,부여군,주민세,1199216
2016,충남,서천군,주민세,1492006
2016,충남,청양군,주민세,645878
2016,충남,홍성군,주민세,1636230
2016,충남,예산군,주민세,1911917
2016,충남,태안군,주민세,2435391
2016,충남,천안시,지방소득세,141781705
2016,충남,공주시,지방소득세,23402533
2016,충남,보령시,지방소득세,17402463
2016,충남,아산시,지방소득세,160208317
2016,충남,서산시,지방소득세,80408062
2016,충남,논산시,지방소득세,12138833
2016,충남,계룡시,지방소득세,5036060
2016,충남,당진시,지방소득세,65803548
2016,충남,금산군,지방소득세,12257442
2016,충남,부여군,지방소득세,7251179
2016,충남,서천군,지방소득세,6733937
2016,충남,청양군,지방소득세,3932436
2016,충남,홍성군,지방소득세,11692032
2016,충남,예산군,지방소득세,12231191
2016,충남,태안군,지방소득세,13063030
