발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지시도,발생지시군구
2014,2014031411,주간,금,1,1,경기,오산시
2014,2014031313,주간,목,1,9,경북,문경시
2014,2014031121,야간,화,1,3,세종,세종
2014,2014031205,야간,수,1,1,강원,속초시
2014,2014031209,주간,수,1,1,대구,동구
2014,2014031102,야간,화,1,3,충북,음성군
2014,2014032319,야간,일,1,1,경기,평택시
2014,2014021718,야간,월,1,2,전남,광양시
2014,2014021919,야간,수,1,1,경북,포항시
2014,2014022523,야간,화,1,1,서울,마포구
2014,2014022522,야간,화,1,1,광주,서구
2014,2014022702,야간,목,1,1,경기,이천시
2014,2014022506,주간,화,1,1,경북,포항시
2014,2014030619,야간,목,1,1,경기,이천시
2014,2014030413,주간,화,1,1,충북,청주시
2014,2014032110,주간,금,1,2,경남,창녕군
2014,2014032305,야간,일,2,2,경기,광주시
2014,2014032014,주간,목,1,1,인천,서구
2014,2014032000,야간,목,1,1,서울,강북구
2014,2014032008,주간,목,1,1,충남,천안시
2014,2014021710,주간,월,1,1,경기,시흥시
2014,2014021711,주간,월,1,1,대구,북구
2014,2014022500,야간,화,1,1,제주,제주시
2014,2014022518,야간,화,1,1,경기,화성시
2014,2014022420,야간,월,1,1,경북,경주시
2014,2014022814,주간,금,1,3,전북,김제시
2014,2014031020,야간,월,1,1,충북,청주시
2014,2014030913,주간,일,1,3,강원,동해시
2014,2014031313,주간,목,1,1,경북,구미시
2014,2014032122,야간,금,1,1,경기,남양주시
2014,2014032022,야간,목,1,1,서울,강남구
2014,2014032020,야간,목,2,3,충북,진천군
2014,2014032401,야간,월,1,1,경북,포항시
2014,2014032215,주간,토,1,1,전남,고흥군
2014,2014032313,주간,일,1,1,경북,고령군
2014,2014022421,야간,월,1,1,경기,안산시
2014,2014022615,주간,수,1,7,전북,부안군
2014,2014022613,주간,수,1,1,전북,부안군
2014,2014022617,주간,수,1,2,경기,의왕시
2014,2014022812,주간,금,1,1,충남,천안시
2014,2014030404,야간,화,1,1,경기,포천시
2014,2014030908,주간,일,1,1,경기,성남시
2014,2014030412,주간,화,1,3,충남,보령시
2014,2014031619,야간,일,2,5,전남,여수시
2014,2014031506,주간,토,1,1,부산,수영구
2014,2014031612,주간,일,1,1,전남,보성군
