사망자수,사상자수,발생지,시
21,36,강원,강릉시
8,11,강원,고성군
13,20,강원,동해시
8,10,강원,삼척시
8,11,강원,속초시
7,15,강원,양구군
10,26,강원,양양군
10,15,강원,영월군
34,58,강원,원주시
13,23,강원,인제군
10,30,강원,정선군
8,9,강원,철원군
32,50,강원,춘천시
12,18,강원,태백시
13,25,강원,평창군
15,26,강원,홍천군
3,4,강원,화천군
14,28,강원,횡성군
17,31,경기,가평군
64,111,경기,고양시
2,2,경기,과천시
13,19,경기,광명시
23,28,경기,광주시
10,11,경기,구리시
11,14,경기,군포시
31,55,경기,김포시
38,57,경기,남양주시
10,14,경기,동두천시
38,45,경기,부천시
40,91,경기,성남시
39,49,경기,수원시
26,39,경기,시흥시
55,77,경기,안산시
33,66,경기,안성시
23,36,경기,안양시
26,44,경기,양주시
26,50,경기,양평군
8,16,경기,여주시
12,12,경기,연천군
7,9,경기,오산시
55,88,경기,용인시
6,8,경기,의왕시
22,35,경기,의정부시
28,44,경기,이천시
45,64,경기,파주시
60,107,경기,평택시
32,59,경기,포천시
21,40,경기,하남시
59,88,경기,화성시
14,73,경남,거제시
10,12,경남,거창군
24,35,경남,고성군
43,61,경남,김해시
11,21,경남,남해군
22,36,경남,밀양시
31,45,경남,사천시
10,14,경남,산청군
25,35,경남,양산시
6,9,경남,의령군
36,55,경남,진주시
23,40,경남,창녕군
73,94,경남,창원시(통합)
15,24,경남,통영시
13,15,경남,하동군
27,44,경남,함안군
10,20,경남,함양군
13,34,경남,합천군
32,45,경북,경산시
68,105,경북,경주시
13,27,경북,고령군
47,73,경북,구미시
12,17,경북,군위군
29,37,경북,김천시
14,17,경북,문경시
6,9,경북,봉화군
24,54,경북,상주시
21,35,경북,성주군
37,48,경북,안동시
12,45,경북,영덕군
6,8,경북,영양군
15,36,경북,영주시
36,56,경북,영천시
10,13,경북,예천군
12,13,경북,울진군
12,16,경북,의성군
9,14,경북,청도군
6,10,경북,청송군
34,57,경북,칠곡군
52,81,경북,포항시
27,37,광주,광산구
10,18,광주,남구
7,10,광주,동구
30,54,광주,북구
23,35,광주,서구
7,8,대구,남구
33,39,대구,달서구
27,34,대구,달성군
15,20,대구,동구
30,42,대구,북구
13,16,대구,서구
29,42,대구,수성구
7,8,대구,중구
15,29,대전,대덕구
22,30,대전,동구
23,31,대전,서구
23,32,대전,유성구
14,21,대전,중구
28,43,부산,강서구
6,8,부산,금정구
11,20,부산,기장군
10,13,부산,남구
12,16,부산,동구
9,9,부산,동래구
10,23,부산,북구
11,13,부산,사상구
13,16,부산,사하구
7,26,부산,서구
10,12,부산,수영구
7,13,부산,연제구
6,9,부산,영도구
6,7,부산,중구
16,24,부산,진구
16,20,부산,해운대구
20,23,서울,강남구
23,26,서울,강동구
16,52,서울,강북구
12,62,서울,강서구
12,17,서울,관악구
17,21,서울,광진구
19,19,서울,구로구
10,15,서울,금천구
15,21,서울,노원구
8,12,서울,도봉구
16,22,서울,동대문구
7,10,서울,동작구
17,31,서울,마포구
13,15,서울,서대문구
20,31,서울,서초구
8,13,서울,성동구
19,24,서울,성북구
16,23,서울,송파구
14,44,서울,양천구
28,30,서울,영등포구
18,20,서울,용산구
16,22,서울,은평구
8,9,서울,종로구
8,8,서울,중구
16,21,서울,중랑구
19,24,세종,세종
22,37,울산,남구
12,14,울산,동구
17,31,울산,북구
32,37,울산,울주군
11,15,울산,중구
4,5,인천,강화군
18,24,인천,계양구
18,28,인천,남구
19,37,인천,남동구
5,5,인천,동구
17,30,인천,부평구
26,89,인천,서구
15,17,인천,연수구
3,3,인천,옹진군
11,17,인천,중구
14,19,전남,강진군
19,37,전남,고흥군
4,6,전남,곡성군
25,35,전남,광양시
10,20,전남,구례군
30,44,전남,나주시
20,39,전남,담양군
21,29,전남,목포시
21,37,전남,무안군
12,15,전남,보성군
41,49,전남,순천시
8,9,전남,신안군
49,71,전남,여수시
19,34,전남,영광군
24,33,전남,영암군
14,20,전남,완도군
14,26,전남,장성군
11,17,전남,장흥군
9,15,전남,진도군
9,12,전남,함평군
24,37,전남,해남군
12,18,전남,화순군
21,30,전북,고창군
35,41,전북,군산시
29,40,전북,김제시
20,29,전북,남원시
8,11,전북,무주군
18,24,전북,부안군
11,19,전북,순창군
23,36,전북,완주군
34,58,전북,익산시
12,19,전북,임실군
4,6,전북,장수군
61,91,전북,전주시
24,31,전북,정읍시
8,10,전북,진안군
35,57,제주,서귀포시
58,88,제주,제주시
3,4,충남,계룡시
21,36,충남,공주시
16,33,충남,금산군
33,55,충남,논산시
31,72,충남,당진시
26,35,충남,보령시
19,25,충남,부여군
37,67,충남,서산시
17,28,충남,서천군
40,56,충남,아산시
27,39,충남,예산군
57,80,충남,천안시
11,16,충남,청양군
21,35,충남,태안군
23,31,충남,홍성군
15,24,충북,괴산군
10,13,충북,단양군
12,16,충북,보은군
10,12,충북,영동군
14,25,충북,옥천군
33,58,충북,음성군
9,9,충북,제천시
7,9,충북,증평군
9,15,충북,진천군
79,134,충북,청주시
40,54,충북,충주시
