사망자수,사상자수,도,시
21,25,강원,강릉시
7,7,강원,고성군
9,13,강원,동해시
16,38,강원,삼척시
13,25,강원,속초시
5,5,강원,양구군
7,14,강원,양양군
9,11,강원,영월군
36,56,강원,원주시
7,9,강원,인제군
9,15,강원,정선군
8,11,강원,철원군
22,31,강원,춘천시
5,14,강원,태백시
13,60,강원,평창군
14,22,강원,홍천군
6,6,강원,화천군
12,18,강원,횡성군
16,33,경기,가평군
54,81,경기,고양시
5,5,경기,과천시
11,12,경기,광명시
45,85,경기,광주시
2,2,경기,구리시
11,23,경기,군포시
22,31,경기,김포시
34,57,경기,남양주시
5,9,경기,동두천시
33,39,경기,부천시
39,57,경기,성남시
48,55,경기,수원시
31,44,경기,시흥시
39,70,경기,안산시
23,31,경기,안성시
26,35,경기,안양시
15,25,경기,양주시
16,28,경기,양평군
19,30,경기,여주시
6,7,경기,연천군
12,14,경기,오산시
52,111,경기,용인시
4,6,경기,의왕시
17,18,경기,의정부시
23,37,경기,이천시
34,49,경기,파주시
55,86,경기,평택시
31,41,경기,포천시
6,8,경기,하남시
46,69,경기,화성시
26,35,경남,거제시
12,15,경남,거창군
21,26,경남,고성군
44,53,경남,김해시
10,12,경남,남해군
18,31,경남,밀양시
11,16,경남,사천시
7,9,경남,산청군
22,25,경남,양산시
7,12,경남,의령군
29,47,경남,진주시
24,33,경남,창녕군
75,103,경남,창원시(통합)
12,14,경남,통영시
13,17,경남,하동군
21,26,경남,함안군
7,13,경남,함양군
14,16,경남,합천군
29,36,경북,경산시
58,82,경북,경주시
9,10,경북,고령군
40,59,경북,구미시
18,26,경북,군위군
23,39,경북,김천시
18,38,경북,문경시
7,9,경북,봉화군
26,37,경북,상주시
25,34,경북,성주군
38,53,경북,안동시
17,31,경북,영덕군
5,5,경북,영양군
11,24,경북,영주시
23,27,경북,영천시
19,25,경북,예천군
1,1,경북,울릉군
7,13,경북,울진군
22,27,경북,의성군
19,23,경북,청도군
8,11,경북,청송군
23,49,경북,칠곡군
49,80,경북,포항시
31,47,광주,광산구
10,10,광주,남구
8,13,광주,동구
18,30,광주,북구
18,23,광주,서구
11,11,대구,남구
25,45,대구,달서구
27,30,대구,달성군
21,27,대구,동구
30,52,대구,북구
15,17,대구,서구
27,43,대구,수성구
8,13,대구,중구
30,72,대전,대덕구
19,25,대전,동구
17,22,대전,서구
21,32,대전,유성구
12,20,대전,중구
15,18,부산,강서구
11,17,부산,금정구
9,11,부산,기장군
13,15,부산,남구
3,3,부산,동구
8,11,부산,동래구
13,16,부산,북구
14,16,부산,사상구
17,30,부산,사하구
4,4,부산,서구
7,16,부산,수영구
7,8,부산,연제구
5,5,부산,영도구
5,5,부산,중구
16,20,부산,진구
12,37,부산,해운대구
12,30,서울,강남구
17,20,서울,강동구
15,20,서울,강북구
13,16,서울,강서구
19,23,서울,관악구
9,12,서울,광진구
9,11,서울,구로구
15,21,서울,금천구
13,13,서울,노원구
11,11,서울,도봉구
14,20,서울,동대문구
19,24,서울,동작구
15,20,서울,마포구
14,21,서울,서대문구
16,22,서울,서초구
15,18,서울,성동구
13,19,서울,성북구
14,19,서울,송파구
12,14,서울,양천구
22,40,서울,영등포구
12,15,서울,용산구
14,16,서울,은평구
9,9,서울,종로구
17,33,서울,중구
9,10,서울,중랑구
25,33,세종,세종
23,28,울산,남구
2,2,울산,동구
9,13,울산,북구
34,48,울산,울주군
13,15,울산,중구
15,22,인천,강화군
9,10,인천,계양구
22,30,인천,남구
25,45,인천,남동구
5,7,인천,동구
12,17,인천,부평구
28,35,인천,서구
16,30,인천,연수구
7,12,인천,옹진군
5,17,인천,중구
9,18,전남,강진군
18,30,전남,고흥군
7,78,전남,곡성군
16,30,전남,광양시
6,7,전남,구례군
17,24,전남,나주시
16,23,전남,담양군
17,22,전남,목포시
17,28,전남,무안군
14,18,전남,보성군
33,49,전남,순천시
10,13,전남,신안군
30,71,전남,여수시
12,25,전남,영광군
25,41,전남,영암군
13,15,전남,완도군
13,25,전남,장성군
12,20,전남,장흥군
6,10,전남,진도군
13,18,전남,함평군
24,36,전남,해남군
9,16,전남,화순군
19,34,전북,고창군
27,37,전북,군산시
24,30,전북,김제시
23,27,전북,남원시
4,4,전북,무주군
17,20,전북,부안군
13,19,전북,순창군
28,35,전북,완주군
35,46,전북,익산시
11,27,전북,임실군
5,7,전북,장수군
53,80,전북,전주시
23,54,전북,정읍시
2,2,전북,진안군
36,41,제주,서귀포시
44,52,제주,제주시
26,36,충남,공주시
13,20,충남,금산군
35,50,충남,논산시
29,39,충남,당진시
24,45,충남,보령시
30,43,충남,부여군
29,56,충남,서산시
20,40,충남,서천군
38,44,충남,아산시
24,38,충남,예산군
62,86,충남,천안시
15,19,충남,청양군
24,31,충남,태안군
19,30,충남,홍성군
15,23,충북,괴산군
9,14,충북,단양군
9,17,충북,보은군
12,15,충북,영동군
8,15,충북,옥천군
28,39,충북,음성군
21,21,충북,제천시
1,1,충북,증평군
12,15,충북,진천군
74,118,충북,청주시
42,81,충북,충주시
