발생년,발생년월일시,주야,요일,사망자수,사상자수,발생지
2016,2016122320,야간,금,1,1,경기 광주시
2016,2016122517,주간,일,1,1,서울 금천구
2016,2016122519,야간,일,1,1,충북 진천군
2016,2016122610,주간,월,1,1,경북 경주시
2016,2016122819,야간,수,1,1,경남 진주시
2016,2016111207,주간,토,1,1,경남 거제시
2016,2016110919,야간,수,1,1,경기 포천시
2016,2016111005,야간,목,1,1,인천 서구
2016,2016110711,주간,월,1,1,충남 예산군
2016,2016110818,야간,화,1,1,전남 순천시
2016,2016111302,야간,일,1,2,서울 용산구
2016,2016111318,야간,일,1,1,전남 보성군
2016,2016111915,주간,토,1,1,경기 가평군
2016,2016111206,주간,토,1,1,경기 파주시
2016,2016112700,야간,일,1,1,경북 칠곡군
2016,2016111914,주간,토,1,1,서울 중랑구
2016,2016112523,야간,금,1,1,경기 화성시
2016,2016112618,야간,토,1,3,강원 원주시
2016,2016112522,야간,금,1,2,충북 음성군
2016,2016112009,주간,일,2,2,경남 합천군
2016,2016112010,주간,일,1,1,전북 순창군
2016,2016112012,주간,일,1,1,부산 남구
2016,2016103108,주간,월,1,1,경기 양평군
2016,2016110411,주간,금,1,4,경기 광주시
2016,2016110505,야간,토,1,1,서울 관악구
2016,2016103010,주간,일,1,1,강원 홍천군
2016,2016102914,주간,토,1,1,경북 경산시
2016,2016110218,야간,수,1,1,경남 거창군
2016,2016121213,주간,월,1,1,경남 창원시(통합)
2016,2016121206,주간,월,1,1,전북 임실군
2016,2016120819,야간,목,1,1,대전 유성구
2016,2016022203,야간,월,1,2,서울 양천구
2016,2016022107,주간,일,1,1,경남 창원시(통합)
2016,2016022110,주간,일,1,1,강원 원주시
2016,2016022713,주간,토,1,4,부산 금정구
2016,2016022819,야간,일,1,2,세종 세종
2016,2016022817,주간,일,1,1,경북 경산시
2016,2016022706,주간,토,1,1,경기 부천시
2016,2016022713,주간,토,1,1,경북 칠곡군
2016,2016021600,야간,화,1,4,인천 서구
2016,2016021002,야간,수,1,1,서울 광진구
2016,2016020713,주간,일,1,1,대구 동구
2016,2016021607,주간,화,1,1,경남 거제시
2016,2016021901,야간,금,1,1,경기 수원시
2016,2016021710,주간,수,1,3,전북 전주시
2016,2016022407,주간,수,1,2,서울 동작구
2016,2016022506,주간,목,1,1,경기 안산시
2016,2016022311,주간,화,1,1,서울 금천구
2016,2016022720,야간,토,1,1,제주 서귀포시
2016,2016022719,야간,토,1,1,인천 연수구
2016,2016022614,주간,금,1,1,경기 부천시
2016,2016022610,주간,금,1,1,경북 예천군
2016,2016022503,야간,목,1,1,부산 기장군
2016,2016022608,주간,금,1,1,서울 강동구
2016,2016030414,주간,금,1,1,서울 노원구
2016,2016030419,야간,금,1,1,충북 청주시
2016,2016030811,주간,화,1,1,울산 울주군
2016,2016030709,주간,월,1,1,세종 세종
2016,2016030705,야간,월,1,1,대구 동구
2016,2016030712,주간,월,1,1,전남 화순군
2016,2016030713,주간,월,1,1,서울 성동구
2016,2016021223,야간,금,1,1,경북 영주시
2016,2016020823,야간,월,1,2,경기 고양시
2016,2016021722,야간,수,1,2,울산 북구
2016,2016021718,야간,수,1,1,전북 부안군
2016,2016021800,야간,목,1,1,충북 청주시
2016,2016021819,야간,목,1,3,충북 청주시
2016,2016021822,야간,목,1,3,경남 거제시
2016,2016022417,주간,수,1,3,경기 파주시
2016,2016022915,주간,월,1,2,전남 완도군
2016,2016022819,야간,일,1,2,경기 평택시
2016,2016022621,야간,금,1,2,충남 서산시
2016,2016022511,주간,목,1,1,경기 수원시
2016,2016021611,주간,화,1,1,서울 마포구
2016,2016022119,야간,일,1,1,전남 순천시
2016,2016030106,주간,화,1,1,충남 예산군
2016,2016022920,야간,월,1,1,경기 평택시
2016,2016030113,주간,화,1,1,서울 동대문구
2016,2016030722,야간,월,1,2,강원 원주시
2016,2016030708,주간,월,1,1,경북 안동시
2016,2016030606,주간,일,1,1,충북 진천군
2016,2016030619,야간,일,2,2,경북 청송군
2016,2016030619,야간,일,2,2,대구 달성군
2016,2016030516,주간,토,1,7,전남 광양시
2016,2016021403,야간,일,1,1,서울 송파구
2016,2016021304,야간,토,1,2,서울 마포구
2016,2016021318,야간,토,1,1,충남 천안시
2016,2016022219,야간,월,1,1,전북 전주시
2016,2016030223,야간,수,1,1,충남 당진시
2016,2016030709,주간,월,1,1,경남 사천시
2016,2016030814,주간,화,1,1,서울 성동구
2016,2016030501,야간,토,1,1,경북 경산시
2016,2016030520,야간,토,1,1,경북 포항시
2016,2016021515,주간,월,1,2,부산 강서구
2016,2016021417,주간,일,1,2,서울 송파구
2016,2016021918,야간,금,1,1,경남 양산시
2016,2016021906,주간,금,1,1,전남 순천시
2016,2016020920,야간,화,1,1,경남 통영시
2016,2016020813,주간,월,1,4,경북 김천시
2016,2016021506,주간,월,1,10,전남 강진군
2016,2016022320,야간,화,1,3,경남 진주시
2016,2016030810,주간,화,1,1,전북 부안군
2016,2016030721,야간,월,1,1,경기 남양주시
2016,2016030522,야간,토,1,1,부산 북구
2016,2016030811,주간,화,1,1,전북 부안군
2016,2016030411,주간,금,1,1,경북 고령군
2016,2016031114,주간,금,1,1,경남 양산시
2016,2016031303,야간,일,2,2,서울 중구
2016,2016031300,야간,일,1,1,대전 대덕구
2016,2016021421,야간,일,2,10,강원 속초시
2016,2016021316,주간,토,1,1,강원 평창군
2016,2016021311,주간,토,1,1,부산 진구
2016,2016022010,주간,토,1,4,대구 북구
2016,2016022004,야간,토,1,1,충북 음성군
2016,2016031307,주간,일,1,3,전북 군산시
2016,2016032023,야간,일,1,1,경북 영천시
2016,2016031911,주간,토,1,1,충남 아산시
2016,2016031805,야간,금,1,1,부산 강서구
2016,2016031717,주간,목,1,1,전남 화순군
2016,2016032413,주간,목,1,1,경남 창원시(통합)
2016,2016032215,주간,화,1,1,경기 화성시
2016,2016032715,주간,일,1,2,전남 구례군
2016,2016032701,야간,일,1,2,대전 유성구
2016,2016033022,야간,수,1,1,경남 창원시(통합)
2016,2016033119,야간,목,1,2,경기 성남시
2016,2016040708,주간,목,1,2,경기 이천시
2016,2016040612,주간,수,1,1,광주 남구
2016,2016040714,주간,목,1,1,경기 포천시
2016,2016040703,야간,목,1,1,경북 안동시
2016,2016040708,주간,목,1,1,충남 보령시
2016,2016040618,야간,수,1,1,경기 화성시
2016,2016031120,야간,금,1,1,경남 양산시
2016,2016031123,야간,금,1,1,대구 남구
2016,2016031105,야간,금,1,1,서울 강남구
2016,2016031412,주간,월,1,4,강원 양양군
2016,2016030904,야간,수,1,1,경기 수원시
2016,2016031615,주간,수,1,1,경남 김해시
2016,2016031616,주간,수,1,1,충북 청주시
2016,2016031604,야간,수,1,1,대구 달성군
2016,2016031706,주간,목,1,1,부산 금정구
2016,2016032214,주간,화,1,1,제주 서귀포시
2016,2016032214,주간,화,1,1,전남 진도군
2016,2016032217,주간,화,1,1,경기 고양시
2016,2016032618,야간,토,1,1,대전 동구
2016,2016032510,주간,금,1,1,충북 제천시
2016,2016040106,주간,금,1,1,충남 아산시
2016,2016032906,주간,화,1,1,서울 강남구
2016,2016040409,주간,월,1,1,경기 여주시
2016,2016040812,주간,금,1,3,전남 담양군
2016,2016040705,야간,목,1,1,서울 서초구
2016,2016040615,주간,수,1,1,울산 남구
2016,2016031918,야간,토,1,1,충남 당진시
