징수년,징수시도,징수시군구,징수분류,징수금액
2014,경기도,수원시,취득세,354033343
2014,경기도,성남시,취득세,418634940
2014,경기도,의정부시,취득세,76765126
2014,경기도,안양시,취득세,136566880
2014,경기도,부천시,취득세,168402245
2014,경기도,광명시,취득세,77259205
2014,경기도,평택시,취득세,194289240
2014,경기도,동두천시,취득세,18743805
2014,경기도,안산시,취득세,172442777
2014,경기도,고양시,취득세,299927917
2014,경기도,과천시,취득세,20715506
2014,경기도,구리시,취득세,36399360
2014,경기도,남양주시,취득세,181143185
2014,경기도,오산시,취득세,57887109
2014,경기도,시흥시,취득세,126125676
2014,경기도,군포시,취득세,69385680
2014,경기도,의왕시,취득세,46082607
2014,경기도,하남시,취득세,105263473
2014,경기도,용인시,취득세,373718356
2014,경기도,파주시,취득세,178102807
2014,경기도,이천시,취득세,88165489
2014,경기도,안성시,취득세,65830501
2014,경기도,김포시,취득세,191729648
2014,경기도,화성시,취득세,352033598
2014,경기도,광주시,취득세,112493433
2014,경기도,양주시,취득세,62474289
2014,경기도,포천시,취득세,59329784
2014,경기도,여주군,취득세,46241935
2014,경기도,연천군,취득세,14270701
2014,경기도,가평군,취득세,32189402
2014,경기도,양평군,취득세,48632490
2014,경기도,수원시,주민세,38917164
2014,경기도,성남시,주민세,35752678
2014,경기도,의정부시,주민세,3544877
2014,경기도,안양시,주민세,11173208
2014,경기도,부천시,주민세,10217428
2014,경기도,광명시,주민세,5608711
2014,경기도,평택시,주민세,20248751
2014,경기도,동두천시,주민세,1362684
2014,경기도,안산시,주민세,21944612
2014,경기도,고양시,주민세,10082965
2014,경기도,과천시,주민세,2472503
2014,경기도,구리시,주민세,1723697
2014,경기도,남양주시,주민세,3892778
2014,경기도,오산시,주민세,3241694
2014,경기도,시흥시,주민세,9126106
2014,경기도,군포시,주민세,4706566
2014,경기도,의왕시,주민세,3539956
2014,경기도,하남시,주민세,1730573
2014,경기도,용인시,주민세,27705171
2014,경기도,파주시,주민세,13866487
2014,경기도,이천시,주민세,11757738
2014,경기도,안성시,주민세,6468626
2014,경기도,김포시,주민세,5153667
2014,경기도,화성시,주민세,44363230
2014,경기도,광주시,주민세,4438090
2014,경기도,양주시,주민세,3097142
2014,경기도,포천시,주민세,3024437
2014,경기도,여주군,주민세,2066868
2014,경기도,연천군,주민세,350554
2014,경기도,가평군,주민세,770354
2014,경기도,양평군,주민세,773765
2014,경기도,수원시,지방소득세,298310737
2014,경기도,성남시,지방소득세,281469217
2014,경기도,의정부시,지방소득세,24688737
2014,경기도,안양시,지방소득세,83688723
2014,경기도,부천시,지방소득세,78085899
2014,경기도,광명시,지방소득세,31693868
2014,경기도,평택시,지방소득세,89862894
2014,경기도,동두천시,지방소득세,4962356
2014,경기도,안산시,지방소득세,106969331
2014,경기도,고양시,지방소득세,93744461
2014,경기도,과천시,지방소득세,19466531
2014,경기도,구리시,지방소득세,16042808
2014,경기도,남양주시,지방소득세,41208602
2014,경기도,오산시,지방소득세,18340198
2014,경기도,시흥시,지방소득세,61860011
2014,경기도,군포시,지방소득세,33310327
2014,경기도,의왕시,지방소득세,24879648
2014,경기도,하남시,지방소득세,24556631
2014,경기도,용인시,지방소득세,259942684
2014,경기도,파주시,지방소득세,49864106
2014,경기도,이천시,지방소득세,61984354
