연도,징수시도,징수시군구,징수분류,징수금액
2014,서울,서울시,취득세,-132226
2014,서울,종로구,취득세,136485571
2014,서울,중구,취득세,158931770
2014,서울,용산구,취득세,157076176
2014,서울,성동구,취득세,103622457
2014,서울,광진구,취득세,68640336
2014,서울,동대문구,취득세,84421553
2014,서울,중랑구,취득세,74990360
2014,서울,성북구,취득세,76534104
2014,서울,강북구,취득세,43032806
2014,서울,도봉구,취득세,43163676
2014,서울,노원구,취득세,72664849
2014,서울,은평구,취득세,82905622
2014,서울,서대문구,취득세,69971723
2014,서울,마포구,취득세,162181857
2014,서울,양천구,취득세,92502216
2014,서울,강서구,취득세,195393552
2014,서울,구로구,취득세,111072286
2014,서울,금천구,취득세,91912541
2014,서울,영등포구,취득세,145985026
2014,서울,동작구,취득세,79314600
2014,서울,관악구,취득세,80527336
2014,서울,서초구,취득세,320670141
2014,서울,강남구,취득세,477502506
2014,서울,송파구,취득세,285141772
2014,서울,강동구,취득세,96660228
2014,서울,서울시,주민세,-501528
2014,서울,종로구,주민세,24612116
2014,서울,중구,주민세,55845537
2014,서울,용산구,주민세,10336654
2014,서울,성동구,주민세,8101560
2014,서울,광진구,주민세,4440229
2014,서울,동대문구,주민세,5545824
2014,서울,중랑구,주민세,3135123
2014,서울,성북구,주민세,3394055
2014,서울,강북구,주민세,2045348
2014,서울,도봉구,주민세,2491003
2014,서울,노원구,주민세,4280938
2014,서울,은평구,주민세,2940070
2014,서울,서대문구,주민세,4604514
2014,서울,마포구,주민세,16414108
2014,서울,양천구,주민세,5245226
2014,서울,강서구,주민세,11187667
2014,서울,구로구,주민세,10904682
2014,서울,금천구,주민세,14882805
2014,서울,영등포구,주민세,44393952
2014,서울,동작구,주민세,5738144
2014,서울,관악구,주민세,4450684
2014,서울,서초구,주민세,39325436
2014,서울,강남구,주민세,65477246
2014,서울,송파구,주민세,18580664
2014,서울,강동구,주민세,6857084
2014,서울,서울시,지방소득세,-10329447
2014,서울,종로구,지방소득세,284681928
2014,서울,중구,지방소득세,533494222
2014,서울,용산구,지방소득세,133821856
2014,서울,성동구,지방소득세,67483504
2014,서울,광진구,지방소득세,42366670
2014,서울,동대문구,지방소득세,41042195
2014,서울,중랑구,지방소득세,15909566
2014,서울,성북구,지방소득세,45614370
2014,서울,강북구,지방소득세,15264995
2014,서울,도봉구,지방소득세,15437852
2014,서울,노원구,지방소득세,29113289
2014,서울,은평구,지방소득세,21501744
2014,서울,서대문구,지방소득세,48838615
2014,서울,마포구,지방소득세,112648461
2014,서울,양천구,지방소득세,61619296
2014,서울,강서구,지방소득세,58157314
2014,서울,구로구,지방소득세,62244674
2014,서울,금천구,지방소득세,65852347
