범죄대분류,범죄중분류,계,서울,부산,대구,인천,광주,대전,울산,경기 부천,경기 수원,경기 성남,전북 전주,경기 안양,충북 청주,경남 창원,경기 광명,경북 포항,경기 안산,경남 진주,경기 고양,제주,전남 목포,경기 의정부,전북 익산,전북 군산,경북 구미,충남 천안,전남 여수,강원 춘천,강원 원주,경기 평택,경북 경주,경남 김해,전남 순천,경기 군포,경기 남양주,강원 강릉,충북 충주,경북 안동,경북 경산,충남 아산,경남 거제,경북 김천,전북 정읍,경기 용인,경기 시흥,경기 파주,경남 양산,경기 이천,경기 구리,충남 서산,충북 제천,충남 논산,기타도시,도시이외
강력범죄 ,살인기수,342,49,26,12,13,6,12,10,6,5,3,2,3,3,13,1,2,6,2,4,10,3,3,2,5,3,8,5,3,7,2,4,3,0,0,2,5,2,1,0,4,1,1,0,8,4,4,0,2,0,1,0,3,31,37
강력범죄 ,살인미수등,587,101,50,28,26,17,18,8,9,9,4,12,5,10,11,1,6,9,5,7,20,2,3,1,2,4,12,4,2,4,7,2,7,2,0,5,1,3,3,2,2,2,1,2,7,5,2,2,5,1,4,2,7,52,71
강력범죄 ,강도,1980,421,224,110,117,86,69,45,36,40,33,13,9,34,49,5,9,35,12,23,38,19,11,17,11,18,39,6,7,11,16,11,15,15,8,10,7,7,8,7,18,4,4,3,18,26,13,5,3,5,2,3,3,127,95
강력범죄 ,강간,5753,1190,470,256,308,246,198,114,99,144,76,74,64,80,120,21,42,83,36,83,97,50,51,51,25,53,101,40,27,31,60,37,48,35,19,35,44,26,21,26,28,18,12,17,58,52,27,23,23,27,21,14,15,445,392
강력범죄 ,유사강간,132,25,15,4,10,12,2,6,4,2,4,0,1,1,1,0,2,5,1,3,2,0,1,0,1,3,1,0,0,2,3,1,2,0,1,0,0,0,0,0,0,1,0,1,0,3,0,0,0,2,0,1,0,2,7
강력범죄 ,강제추행,14778,3916,1179,808,882,519,395,284,305,432,278,174,173,202,198,71,91,262,65,272,228,81,147,71,56,94,177,71,62,90,146,73,108,58,62,102,60,45,37,149,67,61,24,17,147,118,72,58,51,49,30,35,31,958,637
강력범죄 ,기타 강간 강제추행등,1647,253,126,77,87,46,49,45,27,31,22,46,10,23,45,7,7,32,12,21,57,14,18,10,7,30,29,14,11,6,10,14,31,8,7,9,15,4,6,14,6,9,2,9,13,7,12,8,7,3,4,1,3,134,149
강력범죄 ,방화,1743,317,113,77,99,46,66,38,25,40,37,20,14,13,39,6,21,28,12,28,46,9,14,8,12,11,43,19,8,13,20,21,14,8,9,9,10,9,6,26,9,6,4,5,22,10,13,4,6,4,9,4,5,163,125
절도범죄,절도,288343,61600,23887,17481,10989,12419,11717,6643,6881,6642,5028,4222,2464,4737,7179,1569,2575,4187,1866,3890,5834,1773,2353,2126,1103,2629,4551,1356,1375,2033,2901,1844,3158,1361,1219,1727,1130,1319,795,1480,1888,1652,581,399,2869,1906,1332,1373,838,1239,789,628,863,18149,15794
폭력범죄 ,상해,55884,9029,6113,3317,2730,1255,1845,1445,613,1069,959,468,591,723,1413,253,710,650,441,575,1075,505,320,238,270,603,614,311,502,589,556,406,522,417,149,332,450,256,288,297,366,626,170,137,431,347,288,266,209,152,187,174,165,4918,4549
폭력범죄 ,폭행,128699,34996,7139,5310,7802,5609,2079,3361,2906,3160,2449,1597,1628,1973,2286,1040,842,2051,616,2019,2227,1040,1736,806,730,586,1435,989,588,1514,1187,359,1286,695,782,1360,512,274,297,490,531,394,223,255,1223,1544,762,669,594,782,178,225,64,8622,4877
폭력범죄 ,체포 감금,929,141,49,43,42,28,27,30,16,35,16,8,6,13,14,7,11,14,5,26,15,6,15,9,7,9,10,4,4,9,11,5,9,7,4,13,3,5,7,2,7,2,2,3,13,5,9,4,5,4,4,5,1,98,82
폭력범죄 ,협박,4661,1033,413,185,162,167,145,104,62,104,100,42,34,51,82,30,30,60,24,105,152,40,47,21,26,33,46,25,23,55,36,14,38,32,22,59,24,13,13,22,29,25,5,7,51,27,32,40,35,19,7,12,14,386,298
