고유번호,업소명,대분류,중분류,개업일,상태
1,라운딩,충북,청주시,20181123,영업/정상
2,준코뮤직타운 경주점,경북,경주시,20181123,영업/정상
3,마돈나,경기도,양평군,20181122,영업/정상
4,오케이 노래클럽,경기도,화성시,20181122,영업/정상
5,땡큐 노래클럽,경기도,화성시,20181122,영업/정상
6,베니스가요룸,경북,김천시,20181122,영업/정상
7,탑텐노래타운,부산,해운대구,20181121,영업/정상
8,물방울노래바,경기도,김포시,20181120,영업/정상
9,심쿵노래바,경기도,김포시,20181120,영업/정상
10,이브Ⅱ,강원도,인제군,20181120,영업/정상
11,밤밤유흥노래방,대구,중구,20181119,영업/정상
12,명성나이스노래클럽,충남,태안군,20181119,영업/정상
13,설탕노래짱,경기도,동두천시,20181119,영업/정상
14,유끼라이브8090,경기도,안산시,20181116,영업/정상
15,에쿠스,경기도,화성시,20181116,영업/정상
16,별이빛나는밤,경기도,부천시,20181116,영업/정상
17,메이저,서울,노원구,20181116,영업/정상
18,심쿵다국적노래클럽,인천,부평구,20181113,영업/정상
19,올드팝스7080,경남,김해시,20181112,영업/정상
20,21세기,서울,은평구,20181112,영업/정상
21,올댄뉴 라이브클럽,경남,양산시,20181112,영업/정상
22,슈퍼스타,제주,제주시,20181112,영업/정상
23,루피(LOOPY),대구,중구,20181109,영업/정상
24,빌리어네어뮤직타운주점,인천,남동구,20181109,영업/정상
25,킹덤,충남,천안시,20181109,영업/정상
26,J 노래짱,경기도,성남시,20181108,영업/정상
27,어우동가요방,경북,안동시,20181108,영업/정상
28,올리브,부산,중구,20181108,영업/정상
29,밤이면밤마다,경남,진주시,20181106,영업/정상
30,비즈가라오케,경남,양산시,20181106,영업/정상
31,세컨드,경북,김천시,20181106,영업/정상
32,주노노래클럽,충남,아산시,20181105,영업/정상
33,레드문(RED MOON),서울,동대문구,20181105,영업/정상
34,미녀봉실내포장센타,부산,부산진구,20181105,영업/정상
35,챔피언노래방,경남,양산시,20181102,영업/정상
36,라벤더라이브,제주,제주시,20181102,영업/정상
37,비타민 노래,경기도,화성시,20181031,영업/정상
38,애가라오케,충남,천안시,20181030,영업/정상
39,멘토,인천,미추홀구,20181026,영업/정상
40,이화,제주,제주시,20181026,영업/정상
41,야화노래방,경남,양산시,20181026,영업/정상
42,토마토노래클럽,충남,천안시,20181025,영업/정상
43,썸퓨전노래,충남,천안시,20181024,영업/정상
44,아지트,경기도,가평군,20181023,영업/정상
45,샤넬노래광장,경기도,화성시,20181022,영업/정상
46,벤츠노래장,경기도,양주시,20181019,영업/정상
47,엘에이노래클럽,경기도,수원시,20181019,영업/정상
