crimeRate,city_idx,total,out_per,total_m,total_w,out_m,out_w,suicide_rate,tax,death,injured,cctv,city_id,city_name,district_name,age,65세인구,유흥주점
0.007269793,1,9805506,0.0342,4799115,5006391,162741,172426,19.8,9551358036,348,477,44457,1,서울특별시,서울,65세이상,1247946,2000
0.007448617,2,2913024,0.0247,1465699,1447325,41959,29914,23.2,1853394506,144,225,8680,2,인천광역시,인천,65세이상,319828,1978
0.010581841,3,623332,0.028,314133,309199,10194,7282,21,651379778,80,93,2249,3,제주특별자치도,제주,65세이상,86724,2295
0.003628761,4,242507,0.0199,122648,119859,2883,1952,23.2,294869511,25,33,1848,4,세종특별자치시,세종,65세이상,22992,132
0.006452201,5,1535445,0.0128,770971,764474,9222,10465,22.6,577589143,99,171,6356,5,대전광역시,대전,65세이상,171173,1500
0.006264164,6,1501557,0.0158,747303,754254,13211,10490,21.6,689255569,85,123,6294,6,광주광역시,광주광역시,65세이상,174998,4188
0.006332786,7,2461002,0.0124,1223733,1237269,17948,12544,20.3,1285379255,164,238,14710,7,대구광역시,대구,65세이상,324269,9646
0.00714045,8,1166033,0.0247,605618,560415,18160,10632,21.9,883755195,81,106,14178,8,울산광역시,울산,65세이상,107075,8992
0.006415958,9,3440484,0.0134,1694026,1746458,26920,19248,23.1,1963390303,159,232,13047,9,부산광역시,부산,65세이상,523738,22374
0.007072721,10,1207032,0.0374,609777,597255,23950,21244,21.2,753159562,48,55,6930,10,경기,수원,65세이상,104158,3530
0.006387688,11,951518,0.0246,470829,480689,11444,11942,19.5,956472951,39,57,3649,11,경기,성남,65세이상,108239,3333
0.008363118,12,424722,0.0115,209604,215118,2301,2583,24.2,170784886,17,18,5099,12,경기,의정부,65세이상,54203,3132
0.006918661,13,582049,0.0163,288694,293355,4667,4833,19.7,366029419,26,35,5097,13,경기,안양,65세이상,60766,4745
0.00754227,14,844043,0.0294,419916,424127,12553,12285,20.6,381585607,33,39,6422,14,경기,부천,65세이상,86839,6734
0.006642521,15,334361,0.0234,165500,168861,3792,4029,16.3,153568310,11,12,2457,15,경기,광명,65세이상,35850,2730
0.008641536,16,472254,0.0517,244149,228105,14804,9625,21.1,525124179,55,86,4487,16,경기,평택,65세이상,50791,10096
0.007929024,17,98625,0.04,49238,49387,2108,1839,32.8,31018525,5,9,1435,17,경기,동두천,65세이상,16177,2839
0.008495812,18,743072,0.0911,384147,358925,39079,28616,26.9,399061698,39,70,2835,18,경기,안산,65세이상,59785,7488
0.00505556,19,999098,0.0165,489991,509107,8595,7921,17.3,595922424,54,81,5061,19,경기,고양,65세이상,112928,1824
0.005351017,20,60923,0.007,29729,31194,206,219,16.2,78223384,5,5,988,20,경기,과천,65세이상,7425,40
0.009162339,21,183905,0.0093,91067,92838,783,934,17.6,101354574,2,2,1483,21,경기,구리,65세이상,19714,3843
0.007648113,23,215478,0.0494,110540,104938,5501,5137,17.9,104727498,12,14,2187,23,경기,오산,65세이상,16347,3105
0.007835629,24,429321,0.0907,227832,201489,23247,15678,23.9,359963841,31,44,2910,24,경기,시흥,65세이상,32776,6744
0.005328859,25,284301,0.0314,141252,143049,4699,4226,14.7,125154736,11,23,2587,25,경기,군포,65세이상,28709,2550
0.003931549,26,153629,0.0109,76597,77032,929,746,17.6,142914913,4,6,1973,26,경기,의왕,65세이상,16652,390
0.00419093,27,195422,0.012,98271,97151,1364,985,20.5,364784329,6,8,1610,27,경기,하남,65세이상,22119,729
0.004386367,28,982590,0.0224,490583,492007,12561,9456,18.9,785502718,52,111,15,28,경기,용인,65세이상,108925,5404
0.005262326,29,423957,0.0316,216785,207172,9097,4285,21.7,294590829,34,49,1424,29,경기,파주,65세이상,50505,3915
0.007426688,30,214766,0.0386,109731,105035,5003,3277,21.1,296612909,23,37,3585,30,경기,이천,65세이상,24852,3030
0.006177366,31,196362,0.0657,101737,94625,8396,4498,20.7,156036702,23,31,851,31,경기,안성,65세이상,26882,2542
0.003915029,32,365770,0.0602,188970,176800,16840,5186,16.7,316995927,22,31,3759,32,경기,김포,65세이상,39449,1568
0.00505684,33,655350,0.066,345293,310057,30970,12287,22.8,1020480844,46,69,6216,33,경기,화성,65세이상,51286,6666
0.0059044,34,322302,0.0464,167206,155096,10192,4755,18.4,240208184,45,85,2029,34,경기,광주,65세이상,34127,1054
0.006734007,35,207009,0.0469,106410,100599,7120,2583,25.9,431803516,15,25,2175,35,경기,양주,65세이상,26705,1925
